early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,ONL,ORION PROPERTIES INC,RUSSELL2000,Real Estate,81.96,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,74.61,49.17,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
23,WEN,WENDYS,NASDAQ+NASDAQ500+RUSSELL2000,Consumer Discretionary,71.29,82.0,early_transition,49.8,bullish_below_zero_proxy,88.2,51.89,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
24,ALNT,ALLIENT INC,NASDAQ+RUSSELL2000,Industrials,71.17,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.84,51.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,VHI,VALHI INC,RUSSELL2000,Materials,71.06,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,54.45,45.14,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
26,NAVN,NAVAN INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Consumer Discretionary,70.96,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,66.73,47.6,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
27,ESTA,ESTABLISHMENT LABS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,70.91,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,86.58,52.57,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
28,STRO,SUTRO BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,70.52,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,69.03,49.06,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
29,RCMT,RCM TECHNOLOGIES INC,NASDAQ+RUSSELL2000,Industrials,70.51,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.82,51.41,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
30,POWW,OUTDOOR HOLDING,NASDAQ+RUSSELL2000,Consumer Discretionary,70.38,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.44,51.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,ATLC,ATLANTICUS HOLDINGS CORP,NASDAQ+RUSSELL2000,Financials,70.33,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,81.52,50.55,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,KORE,KORE GROUP HOLDINGS INC,RUSSELL2000,Communication,70.29,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,81.41,50.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,CIA,CITIZENS INC CLASS A,RUSSELL2000,Financials,70.05,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.43,51.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,AVPT,AVEPOINT INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,69.85,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,63.36,46.92,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
35,LBRX,LB PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,69.8,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.22,51.89,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,CFBK,CF BANKSHARES INC,NASDAQ+RUSSELL2000,Financials,69.77,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.57,50.96,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
37,NWFL,NORWOOD FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,69.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.15,50.88,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
38,RBKB,RHINEBECK BANCORP INC,NASDAQ+RUSSELL2000,Financials,69.42,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.52,50.75,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
39,FINW,FINWISE BANCORP,NASDAQ+RUSSELL2000,Financials,69.38,85.0,early_transition,63.15,bullish_above_signal_proxy,69.55,48.16,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
40,INTA,INTAPP INC,NASDAQ+RUSSELL2000,Information Technology,69.38,82.0,early_transition,61.8,bullish_above_signal_proxy,73.31,48.91,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
41,ONIT,ONITY GROUP INC,RUSSELL2000,Financials,69.37,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,66.02,47.45,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
42,PRLD,PRELUDE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,69.32,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.78,51.61,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
43,FC,FRANKLIN COVEY,RUSSELL2000,Industrials,69.32,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,58.03,45.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
44,ARQT,ARCUTIS BIOTHERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,69.3,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.71,51.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,ILPT,INDUSTRIAL LOGISTICS PROPERTIES TR,NASDAQ+RUSSELL2000,Real Estate,69.08,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,61.03,46.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
46,SYRE,SPYRE THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,69.08,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.03,51.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
47,CWK,CUSHMAN AND WAKEFIELD LTD,RUSSELL2000,Real Estate,69.01,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,64.92,47.23,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
48,NPO,ENPRO INC,RUSSELL2000,Industrials,68.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.17,50.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
49,HBNC,HORIZON BANCORP INC,NASDAQ+RUSSELL2000,Financials,68.67,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.24,50.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
50,AROC,ARCHROCK INC,RUSSELL2000,Energy,68.66,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.22,50.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
51,XPOF,XPONENTIAL FITNESS INC CLASS A,RUSSELL2000,Consumer Discretionary,68.53,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.82,50.21,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,PRTH,PRIORITY TECHNOLOGY HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,68.48,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.67,50.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,CFFI,C AND F FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,68.47,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.63,50.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
54,PTCT,PTC THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.47,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,75.44,50.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
55,KLIC,KULICKE AND SOFFA INDUSTRIES INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,68.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.26,50.1,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
56,CZFS,CITIZENS FINANCIAL SERVICES INC,NASDAQ+RUSSELL2000,Financials,68.32,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.2,50.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
57,TAYD,TAYLOR DEVICES INC,NASDAQ+RUSSELL2000,Industrials,68.3,82.0,early_transition,61.8,bullish_above_signal_proxy,70.03,48.26,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
58,SVRA,SAVARA INC,NASDAQ+RUSSELL2000,Health Care,68.29,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.66,50.98,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
59,SKYH,SKY HARBOUR GROUP CORP CLASS A,RUSSELL2000,Industrials,68.29,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,62.73,46.8,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
60,BDN,BRANDYWINE REALTY TRUST REIT,RUSSELL2000,Real Estate,68.28,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.6,45.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
61,AVBH,AVIDBANK HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,68.22,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.88,50.03,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
62,INFU,INFUSYSTEM HOLDINGS INC,RUSSELL2000,Health Care,68.21,82.0,early_transition,49.8,bullish_below_zero_proxy,78.39,50.93,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
63,ROOT,ROOT INC CLASS A,NASDAQ+RUSSELL2000,Financials,68.2,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,62.45,46.74,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
64,ALTI,ALTI GLOBAL INC CLASS A,NASDAQ+RUSSELL2000,Financials,68.12,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,62.22,46.69,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
65,TENX,TENAX THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,68.11,82.0,early_transition,61.8,bullish_above_signal_proxy,69.01,49.05,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
66,CBFV,CB FINANCIAL SERVICES INC,NASDAQ+RUSSELL2000,Financials,68.07,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.42,49.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
67,MRBK,MERIDIAN CORP,NASDAQ+RUSSELL2000,Financials,67.92,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.24,49.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
68,TRUP,TRUPANION INC,NASDAQ+RUSSELL2000,Financials,67.92,82.0,early_transition,61.8,bullish_above_signal_proxy,68.89,48.03,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
69,AVNW,AVIAT NETWORKS INC,NASDAQ+RUSSELL2000,Information Technology,67.81,82.0,early_transition,61.8,bullish_above_signal_proxy,68.56,47.96,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
70,BDC,BELDEN INC,RUSSELL2000,Information Technology,67.77,82.0,early_transition,61.8,bullish_above_signal_proxy,68.42,47.93,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
71,NRDS,NERDWALLET INC CLASS A,NASDAQ+RUSSELL2000,Financials,67.66,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,60.82,46.41,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
72,BCC,BOISE CASCADE,RUSSELL2000,Industrials,67.61,82.0,early_transition,61.8,bullish_above_signal_proxy,67.95,47.84,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
73,HIMS,HIMS HERS HEALTH INC CLASS A,RUSSELL2000,Health Care,67.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.45,50.54,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
74,ATRO,ASTRONICS CORP,NASDAQ+RUSSELL2000,Industrials,67.53,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.79,49.61,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
75,ACHC,ACADIA HEALTHCARE COMPANY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,67.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.32,50.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
76,UFPI,UFP INDUSTRIES INC,NASDAQ+RUSSELL2000,Industrials,67.51,82.0,early_transition,61.8,bullish_above_signal_proxy,67.63,47.78,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
77,JANX,JANUX THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.5,82.0,early_transition,61.8,bullish_above_signal_proxy,67.16,48.68,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
78,ATEC,ALPHATEC HOLDNGS INC,NASDAQ+RUSSELL2000,Health Care,67.48,82.0,early_transition,49.8,bullish_below_zero_proxy,76.18,50.49,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
79,SPSC,SPS COMMERCE INC,NASDAQ+RUSSELL2000,Information Technology,67.48,82.0,early_transition,61.8,bullish_above_signal_proxy,67.55,47.76,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
80,PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,RUSSELL2000,Financials,67.48,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,60.27,46.3,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
81,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,RUSSELL2000,Consumer Discretionary,67.47,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,56.16,45.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
82,RNAC,CARTESIAN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.41,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.97,50.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
83,SMPL,THE SIMPLY GOOD FOODS COMPANY,NASDAQ+RUSSELL2000,Consumer Staples,67.39,85.0,early_transition,63.15,bullish_above_signal_proxy,63.08,47.87,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
84,MQ,MARQETA INC CLASS A,NASDAQ+RUSSELL2000,Financials,67.37,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,59.95,46.24,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
