early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_prism_rank,signal,risk
25,TZOO,TRAVELZOO,NASDAQ+RUSSELL2000,Communication,70.4,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,62.3,46.71,0.0,2,323,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
26,SFIX,STITCH FIX INC CLASS A,NASDAQ+RUSSELL2000,Consumer Discretionary,69.74,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,79.73,50.2,0.0,2,97,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
27,LADR,LADDER CAPITAL CORP CLASS A,RUSSELL2000,Financials,69.67,85.0,early_transition,90.15,fresh_above_zero_cross_proxy,50.0,44.25,0.0,2,1202,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
28,WULF,TERAWULF INC,NASDAQ+RUSSELL2000,Information Technology,69.61,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,79.34,50.12,0.0,2,99,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
29,DFH,DREAM FINDERS HOMES INC CLASS A,RUSSELL2000,Consumer Discretionary,69.34,85.0,early_transition,88.8,fresh_above_zero_cross_proxy,50.0,44.25,0.0,2,1036,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
30,MDXG,MIMEDX GROUP INC,NASDAQ+RUSSELL2000,Health Care,69.3,85.0,early_transition,90.15,fresh_above_zero_cross_proxy,48.4,44.93,0.0,2,742,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
31,ARHS,ARHAUS INC CLASS A,NASDAQ+RUSSELL2000,Consumer Discretionary,68.94,82.0,early_transition,61.8,bullish_above_signal_proxy,71.99,48.65,0.0,2,153,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,AFRI,FORAFRIC GLOBAL PLC,NASDAQ+RUSSELL2000,Consumer Staples,68.94,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,47.59,44.77,0.0,2,774,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
33,BELFA,BEL FUSE INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,68.82,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,76.96,49.64,0.0,2,115,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,TOI,ONCOLOGY INSTITUTE INC,NASDAQ+RUSSELL2000,Health Care,68.78,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.14,51.28,0.0,2,75,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
35,AVNW,AVIAT NETWORKS INC,NASDAQ+RUSSELL2000,Information Technology,68.76,85.0,early_transition,61.8,bullish_above_signal_proxy,68.7,47.99,0.0,2,186,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,RYTM,RHYTHM PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,68.55,85.0,early_transition,63.15,bullish_above_signal_proxy,66.6,48.57,0.0,2,157,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
37,UFPT,UFP TECHNOLOGIES INC,NASDAQ+RUSSELL2000,Health Care,68.48,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,56.04,46.46,0.0,2,355,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
38,TLSI,TRISALUS LF SC CM A,NASDAQ+RUSSELL2000,Health Care,68.41,85.0,early_transition,49.8,bullish_below_zero_proxy,76.27,50.5,0.0,2,90,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
39,BNTC,BENITEC BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,68.41,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,61.62,47.57,0.0,2,213,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
40,PTCT,PTC THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,68.4,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,75.24,50.3,0.0,2,94,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
41,ASTE,ASTEC INDUSTRIES INC,NASDAQ+RUSSELL2000,Industrials,68.33,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,62.87,46.82,0.0,2,302,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
42,ABEO,ABEONA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,68.15,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,57.77,46.8,0.0,2,306,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
43,SVCO,SILVACO GROUP INC,NASDAQ+RUSSELL2000,Information Technology,68.11,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.84,49.42,0.0,2,121,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,ROCK,GIBRALTAR INDUSTRIES INC,NASDAQ+RUSSELL2000,Industrials,68.1,85.0,early_transition,61.8,bullish_above_signal_proxy,66.69,47.59,0.0,2,211,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,VITL,VITAL FARMS INC,NASDAQ+RUSSELL2000,Consumer Staples,68.07,85.0,early_transition,49.8,bullish_below_zero_proxy,84.34,52.12,3.0,2,54,EMA: early_transition; MACD: bullish_below_zero_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
46,CRSP,CRISPR THERAPEUTICS AG,NASDAQ+RUSSELL2000,Health Care,68.04,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,60.5,47.35,0.0,2,245,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
47,OFLX,OMEGA FLEX INC,NASDAQ+RUSSELL2000,Industrials,67.83,85.0,early_transition,61.8,bullish_above_signal_proxy,65.88,47.43,0.0,2,231,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
48,SKYW,SKYWEST INC,NASDAQ+RUSSELL2000,Industrials,67.81,85.0,early_transition,63.15,bullish_above_signal_proxy,64.81,47.21,0.0,2,258,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
49,UPST,UPSTART HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,67.77,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,54.33,45.12,0.0,2,709,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
50,LMRI,LUMEXA IMAGING HOLDINGS INC,NASDAQ+RUSSELL2000,Health Care,67.7,82.0,early_transition,49.8,bullish_below_zero_proxy,76.85,50.62,0.0,2,88,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
51,MYGN,MYRIAD GENETICS INC,NASDAQ+RUSSELL2000,Health Care,67.53,85.0,early_transition,61.8,bullish_above_signal_proxy,64.52,48.15,0.0,2,173,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,WINA,WINMARK CORP,NASDAQ+RUSSELL2000,Consumer Discretionary,67.41,85.0,early_transition,63.15,bullish_above_signal_proxy,63.58,46.97,0.0,2,284,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,QNST,QUINSTREET INC,NASDAQ+RUSSELL2000,Communication,67.27,85.0,early_transition,63.15,bullish_above_signal_proxy,63.16,46.88,0.0,2,294,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
54,LBRX,LB PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,67.25,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,59.13,47.08,0.0,2,274,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
55,BWB,BRIDGEWATER BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,67.21,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,72.07,48.66,0.0,2,151,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
56,ORKA,ORUKA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.12,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.38,49.73,0.0,2,112,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
57,PESI,PERMA FIX ENVIRONMENTAL SERVICES I,NASDAQ+RUSSELL2000,Industrials,66.95,85.0,early_transition,51.15,bullish_below_zero_proxy,71.29,48.51,0.0,2,159,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
58,CZWI,CITIZENS COMMUNITY BANCORP INC,NASDAQ+RUSSELL2000,Financials,66.88,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.11,48.67,0.0,2,150,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
59,TRNS,TRANSCAT INC,NASDAQ+RUSSELL2000,Industrials,66.8,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,74.58,49.17,0.0,2,129,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
60,ROAD,CONSTRUCTION PARTNERS INC CLASS A,NASDAQ+RUSSELL2000,Industrials,66.75,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,58.07,45.86,0.0,2,448,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
61,ACVA,ACV AUCTIONS INC CLASS A,RUSSELL2000,Industrials,66.67,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,50.0,44.25,0.0,2,855,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
62,BOOT,BOOT BARN HOLDINGS INC,RUSSELL2000,Consumer Discretionary,66.67,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,50.0,44.25,0.0,2,938,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
63,OSG,OCTAVE SPECIALTY GROUP INC,RUSSELL2000,Financials,66.67,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,50.0,44.25,0.0,2,1315,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
64,RMAX,RE MAX HOLDINGS INC CLASS A,RUSSELL2000,Real Estate,66.67,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,50.0,44.25,0.0,2,1371,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
65,MITK,MITEK SYSTEMS INC,NASDAQ+RUSSELL2000,Information Technology,66.66,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,70.42,48.33,0.0,2,166,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
66,MRDN,MERIDIAN HOLDINGS INC,NASDAQ+RUSSELL2000,Communication,66.63,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,70.33,48.32,0.0,2,167,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
67,QTRX,QUANTERIX CORP,NASDAQ+RUSSELL2000,Health Care,66.62,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,49.64,45.18,3.0,2,688,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
68,RBB,RBB BANCORP,NASDAQ+RUSSELL2000,Financials,66.58,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,71.2,48.49,0.0,2,160,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
69,XERS,XERIS BIOPHARMA HOLDINGS INC,NASDAQ+RUSSELL2000,Health Care,66.46,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,69.36,49.12,0.0,2,130,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
70,TCI,TRANSCONTINENTAL REALTY INVESTORS,RUSSELL2000,Real Estate,66.34,85.0,early_transition,88.8,fresh_above_zero_cross_proxy,50.0,44.25,3.0,2,1435,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
71,RELL,RICHARDSON ELECTRONICS LTD,NASDAQ+RUSSELL2000,Information Technology,66.2,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,52.32,44.71,0.0,2,782,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
72,OSUR,ORASURE TECHNOLOGIES INC,NASDAQ+RUSSELL2000,Health Care,66.12,75.0,confirmed_bullish_trend,21.35,fresh_bearish_cross_proxy,100.0,55.25,0.0,2,2,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
73,OCUL,OCULAR THERAPEUTIX INC,NASDAQ+RUSSELL2000,Health Care,66.12,85.0,early_transition,49.8,bullish_below_zero_proxy,69.34,49.12,0.0,2,131,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
74,ALMS,ALUMIS INC,NASDAQ+RUSSELL2000,Health Care,66.12,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,54.68,46.19,0.0,2,400,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
75,GIII,G III APPAREL GROUP LTD,NASDAQ+RUSSELL2000,Consumer Discretionary,66.11,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.48,48.75,0.0,2,148,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
76,AEHR,AEHR TEST SYSTEMS,NASDAQ+RUSSELL2000,Information Technology,65.88,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,71.8,48.61,0.0,2,155,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
77,SGC,SUPERIOR GROUP OF COMPANIES INC,NASDAQ+RUSSELL2000,Consumer Discretionary,65.84,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,67.92,47.83,0.0,2,198,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
78,XNCR,XENCOR INC,NASDAQ+RUSSELL2000,Health Care,65.76,85.0,early_transition,49.8,bullish_below_zero_proxy,68.25,48.9,0.0,2,140,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
79,MNKD,MANNKIND CORP,NASDAQ+RUSSELL2000,Health Care,65.73,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.24,50.7,3.0,2,85,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
80,KURA,KURA ONCOLOGY INC,NASDAQ+RUSSELL2000,Health Care,65.73,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,54.51,46.15,0.0,2,403,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
81,INV,INNVENTURE INC,NASDAQ+RUSSELL2000,Financials,65.72,100.0,fresh_bullish_cross,73.15,fresh_below_zero_cross_proxy,37.27,41.7,0.0,2,1743,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
82,BTBT,BIT DIGITAL INC,NASDAQ+RUSSELL2000,Information Technology,65.66,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,67.38,47.73,0.0,2,203,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
83,BEAM,BEAM THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,65.61,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,66.77,48.6,0.0,2,156,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
84,DIOD,DIODES INC,NASDAQ+RUSSELL2000,Information Technology,65.52,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,56.61,45.57,3.0,2,513,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
85,POWW,OUTDOOR HOLDING,NASDAQ+RUSSELL2000,Consumer Discretionary,65.5,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,46.72,43.59,3.0,2,1606,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
86,TNGX,TANGO THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,65.47,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,100.0,55.25,0.0,2,4,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
87,SBFG,SB FINANCIAL GROUP INC,NASDAQ+RUSSELL2000,Financials,65.34,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,66.4,47.53,0.0,2,217,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
88,ATEX,ANTERIX INC,NASDAQ+RUSSELL2000,Communication,65.33,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,100.0,54.25,0.0,2,11,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
89,SHBI,SHORE BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,65.27,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,66.2,47.49,0.0,2,225,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
90,APGE,APOGEE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,65.23,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,65.61,48.37,0.0,2,164,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
91,RCKY,ROCKY BRANDS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,65.19,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,65.94,47.44,0.0,2,230,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
92,DAVE,DAVE INC CLASS A,NASDAQ+RUSSELL2000,Financials,65.17,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,65.88,47.43,0.0,2,232,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
93,IDCC,INTERDIGITAL INC,NASDAQ+RUSSELL2000,Information Technology,65.05,85.0,early_transition,51.15,bullish_below_zero_proxy,65.53,47.36,0.0,2,244,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
