early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,MMED,MINIMED INC,NASDAQ+RUSSELL2000,Health Care,80.03,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,93.76,54.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
12,SGP,SPYGLASS PHARMA INC SHS,NASDAQ+RUSSELL2000,Health Care,74.29,82.0,early_transition,49.8,bullish_below_zero_proxy,96.83,54.62,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
13,RNAC,CARTESIAN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,74.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,96.71,54.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
14,GKOS,GLAUKOS CORP,RUSSELL2000,Health Care,73.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,93.68,53.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,ELE,ELEMENTAL ROYALTY CORP,NASDAQ+RUSSELL2000,Materials,72.98,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,76.95,49.64,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
16,LCTX,LINEAGE CELL THERAPEUTICS INC,RUSSELL2000,Health Care,72.53,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,75.13,50.28,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
17,OBIO,ORCHESTRA BIOMED HOLDINGS INC,NASDAQ+RUSSELL2000,Health Care,72.51,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,91.42,53.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,CVEO,CIVEO CORP,RUSSELL2000,Industrials,72.46,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,71.27,48.5,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
19,GENB,GENERATE BIOMEDICINES INC,NASDAQ+RUSSELL2000,Health Care,72.08,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.14,53.28,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,WHG,WESTWOOD HOLDINGS GROUP INC,RUSSELL2000,Financials,71.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.26,52.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,KMPR,KEMPER CORP,RUSSELL2000,Financials,71.88,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,73.61,48.97,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
22,INFU,INFUSYSTEM HOLDINGS INC,RUSSELL2000,Health Care,71.77,82.0,early_transition,61.8,bullish_above_signal_proxy,80.1,51.27,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,XFOR,X4 PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,71.73,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.07,53.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,PHAT,PHATHOM PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,71.52,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,72.06,49.66,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
25,NMAX,NEWSMAX INC CLASS B,RUSSELL2000,Communication,71.0,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,41.4,42.53,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
26,TCI,TRANSCONTINENTAL REALTY INVESTORS,RUSSELL2000,Real Estate,70.57,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,86.0,51.45,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
27,PENG,PENGUIN SOLUTIONS INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,70.41,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,65.06,47.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
28,LPTH,LIGHTPATH TECHNOLOGIES INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,70.13,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,38.77,42.0,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
29,RICK,RCI HOSPITALITY HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,70.01,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,63.86,47.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
30,DIBS,1STDIBS COM INC,NASDAQ+RUSSELL2000,Consumer Discretionary,69.9,82.0,early_transition,61.8,bullish_above_signal_proxy,74.88,49.23,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,ATEC,ALPHATEC HOLDNGS INC,NASDAQ+RUSSELL2000,Health Care,69.89,82.0,early_transition,61.8,bullish_above_signal_proxy,74.39,50.13,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,FWRD,FORWARD AIR CORP,NASDAQ+RUSSELL2000,Industrials,69.87,82.0,early_transition,61.8,bullish_above_signal_proxy,74.8,49.21,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,BHVN,BIOHAVEN LTD,RUSSELL2000,Health Care,69.87,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.42,51.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,JRVR,JAMES RIVER GROUP HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,69.83,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,67.4,47.73,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
35,TAYD,TAYLOR DEVICES INC,NASDAQ+RUSSELL2000,Industrials,69.82,82.0,early_transition,61.8,bullish_above_signal_proxy,74.63,49.18,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,PDFS,PDF SOLUTIONS INC,NASDAQ+RUSSELL2000,Information Technology,69.8,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.67,50.98,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
37,NHI,NATIONAL HEALTH INVESTORS REIT INC,RUSSELL2000,Real Estate,69.8,82.0,early_transition,49.8,bullish_below_zero_proxy,83.68,50.99,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
38,FBRX,FORTE BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,69.75,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,66.71,48.59,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
39,NKTR,NEKTAR THERAPEUTICS,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,69.69,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,66.52,48.55,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
40,NPO,ENPRO INC,RUSSELL2000,Industrials,69.59,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.03,50.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
41,TEX,TEREX CORP,RUSSELL2000,Industrials,69.54,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.88,50.83,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
42,KLIC,KULICKE AND SOFFA INDUSTRIES INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,69.46,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.63,50.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
43,RCMT,RCM TECHNOLOGIES INC,NASDAQ+RUSSELL2000,Industrials,69.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.18,50.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,AROC,ARCHROCK INC,RUSSELL2000,Energy,69.26,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.05,50.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,LXRX,LEXICON PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,69.23,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.5,51.55,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
46,NTST,NETSTREIT CORP,RUSSELL2000,Real Estate,69.22,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.93,50.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
47,BNTC,BENITEC BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,69.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.38,51.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
48,LARK,LANDMARK BANCORP INC,NASDAQ+RUSSELL2000,Financials,69.12,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.6,50.57,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
49,FBYD,FALCON S BEYOND GLOBAL INC CLASS A,NASDAQ+RUSSELL2000,Industrials,69.03,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.35,50.52,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
50,ESOA,ENERGY SERVICES OF AMERICA CORP,NASDAQ+RUSSELL2000,Energy,68.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.16,50.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
51,RVLV,REVOLVE GROUP CLASS A INC,RUSSELL2000,Consumer Discretionary,68.96,82.0,early_transition,61.8,bullish_above_signal_proxy,72.04,48.66,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,AFRI,FORAFRIC GLOBAL PLC,NASDAQ+RUSSELL2000,Consumer Staples,68.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.48,51.35,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,ALNT,ALLIENT INC,NASDAQ+RUSSELL2000,Industrials,68.79,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.62,50.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
54,BXC,BLUELINX HOLDINGS INC,RUSSELL2000,Industrials,68.77,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.55,50.36,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
55,RMNI,RIMINI STREET INC,NASDAQ+RUSSELL2000,Information Technology,68.74,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,60.01,46.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
56,CBFV,CB FINANCIAL SERVICES INC,NASDAQ+RUSSELL2000,Financials,68.71,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.37,50.32,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
57,FWRG,FIRST WATCH RESTAURANT GROUP INC,NASDAQ+RUSSELL2000,Consumer Discretionary,68.69,82.0,early_transition,61.8,bullish_above_signal_proxy,71.22,48.49,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
58,MIRM,MIRUM PHARMACEUTICALS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.68,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.84,51.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
59,CV,CAPSOVISION INC,NASDAQ+RUSSELL2000,Health Care,68.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.69,51.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
60,COLL,COLLEGIUM PHARMACEUTICAL INC,NASDAQ+RUSSELL2000,Health Care,68.61,82.0,early_transition,61.8,bullish_above_signal_proxy,70.54,49.36,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
61,CZFS,CITIZENS FINANCIAL SERVICES INC,NASDAQ+RUSSELL2000,Financials,68.61,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.06,50.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
62,CTEV,CLARITEV CORP CLASS A,RUSSELL2000,Health Care,68.6,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.57,51.16,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
63,AII,AMERICAN INTEGRITY INSURANCE GROUP,RUSSELL2000,Financials,68.54,82.0,early_transition,61.8,bullish_above_signal_proxy,70.77,48.4,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
64,CBLL,CERIBELL INC,NASDAQ+RUSSELL2000,Health Care,68.52,82.0,early_transition,61.8,bullish_above_signal_proxy,70.24,49.3,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
65,BVS,BIOVENTUS CLASS A INC,NASDAQ+RUSSELL2000,Health Care,68.5,82.0,early_transition,49.8,bullish_below_zero_proxy,79.29,51.11,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
66,BELFA,BEL FUSE INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,68.45,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.59,50.17,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
67,IBRX,IMMUNITYBIO INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.42,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.05,51.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
68,NWFL,NORWOOD FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,68.41,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.46,50.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
69,AVIR,ATEA PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,68.4,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,62.6,47.77,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
70,CGON,CG ONCOLOGY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.38,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.93,51.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
71,OI,O I GLASS INC,RUSSELL2000,Materials,68.37,82.0,early_transition,61.8,bullish_above_signal_proxy,70.24,48.3,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
72,SKY,CHAMPION HOMES INC,RUSSELL2000,Consumer Discretionary,68.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.33,50.12,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
73,UA,UNDER ARMOUR INC CLASS C,RUSSELL2000,Consumer Discretionary,68.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.35,50.12,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
74,RCKT,ROCKET PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,68.36,82.0,early_transition,61.8,bullish_above_signal_proxy,69.77,49.2,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
75,SIBN,SI BONE INC,NASDAQ+RUSSELL2000,Health Care,68.33,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.75,51.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
76,LBRX,LB PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,68.29,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.65,50.98,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
77,GHC,GRAHAM HOLDINGS COMPANY CLASS B,RUSSELL2000,Consumer Discretionary,68.12,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.12,45.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
78,HELE,HELEN OF TROY LTD,NASDAQ+RUSSELL2000,Consumer Discretionary,68.06,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,57.95,45.84,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
79,TRUP,TRUPANION INC,NASDAQ+RUSSELL2000,Financials,68.03,82.0,early_transition,61.8,bullish_above_signal_proxy,69.22,48.09,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
80,CNTB,CONNECT BIOPHARMA HOLDINGS LTD,NASDAQ+RUSSELL2000,Health Care,68.02,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,61.47,47.54,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
81,DCTH,DELCATH SYS INC,NASDAQ+RUSSELL2000,Health Care,68.02,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.83,50.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
82,ARTV,ARTIVA BIOTHERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.67,50.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
83,GHM,GRAHAM CORP,RUSSELL2000,Industrials,67.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.12,49.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
84,TATT,TAT TECHNOLOGIES LTD,NASDAQ+RUSSELL2000,Industrials,67.95,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.07,49.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
