early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,LILAK,LIBERTY LATIN AMERICA LTD CLASS C,NASDAQ+RUSSELL2000,Communication,80.59,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
12,GT,GOODYEAR TIRE & RUBBER,NASDAQ+NASDAQ500+RUSSELL2000,Consumer Discretionary,73.19,82.0,early_transition,61.8,bullish_above_signal_proxy,84.87,51.22,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,LWAY,LIFEWAY FOODS INC,NASDAQ+RUSSELL2000,Consumer Staples,73.12,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,93.27,53.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
14,CRVS,CORVUS PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,72.6,82.0,early_transition,61.8,bullish_above_signal_proxy,82.62,51.77,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,JACK,JACK IN THE BOX INC,NASDAQ+RUSSELL2000,Consumer Discretionary,72.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,92.03,52.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
16,SLS,SELLAS LIFE SCIENCES GROUP INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,72.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,91.46,53.54,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
17,OFRM,ONCE UPON A FARM PBC,RUSSELL2000,Consumer Staples,72.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,91.38,53.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,EPC,EDGEWELL PERSONAL CARE,RUSSELL2000,Consumer Staples,72.14,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.31,53.31,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,BIOA,BIOAGE LABS INC,NASDAQ+RUSSELL2000,Health Care,71.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,88.94,53.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,PTLO,PORTILLO S INC CLASS A,NASDAQ+RUSSELL2000,Consumer Discretionary,71.66,82.0,early_transition,61.8,bullish_above_signal_proxy,80.21,50.29,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,ZURA,ZURA BIO LTD CLASS A,NASDAQ+RUSSELL2000,Health Care,71.58,82.0,early_transition,61.8,bullish_above_signal_proxy,79.52,51.15,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,CELC,CELCUITY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,71.21,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,71.13,49.48,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
23,VERA,VERA THERAPEUTICS INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,70.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,86.3,52.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,OI,O I GLASS INC,RUSSELL2000,Materials,70.65,82.0,early_transition,61.8,bullish_above_signal_proxy,77.15,49.68,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,DSGN,DESIGN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,70.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.4,52.33,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
26,SAM,BOSTON BEER INC CLASS A,RUSSELL2000,Consumer Staples,70.41,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,68.7,48.99,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
27,ENOV,ENOVIS CORP,RUSSELL2000,Health Care,70.16,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,67.94,48.84,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
28,EYE,NATIONAL VISION HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,69.91,82.0,early_transition,49.8,bullish_below_zero_proxy,84.0,51.05,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
29,BHVN,BIOHAVEN LTD,RUSSELL2000,Health Care,69.86,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.4,51.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
30,TARS,TARSUS PHARMACEUTICALS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,69.77,82.0,early_transition,61.8,bullish_above_signal_proxy,74.03,50.06,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,AMLX,AMYLYX PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,69.71,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.94,51.84,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,TCI,TRANSCONTINENTAL REALTY INVESTORS,RUSSELL2000,Real Estate,69.3,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.15,50.68,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,EVC,ENTRAVISION COMMUNICATIONS CORP CL,RUSSELL2000,Communication,69.17,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.76,50.6,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,AVA,AVISTA CORP,RUSSELL2000,Utilities,69.09,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,48.05,44.86,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
35,ATEC,ALPHATEC HOLDNGS INC,NASDAQ+RUSSELL2000,Health Care,69.06,82.0,early_transition,61.8,bullish_above_signal_proxy,71.88,49.63,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,ALTI,ALTI GLOBAL INC CLASS A,NASDAQ+RUSSELL2000,Financials,68.9,82.0,early_transition,61.8,bullish_above_signal_proxy,71.86,48.62,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
37,HROW,HARROW INC,NASDAQ+RUSSELL2000,Health Care,68.89,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.46,51.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
38,VSTM,VERASTEM INC,NASDAQ+RUSSELL2000,Health Care,68.89,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,64.09,48.07,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
39,MAGN,MAGNERA CORP,RUSSELL2000,Materials,68.88,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,60.42,46.33,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
40,COTY,COTY INC CLASS A,RUSSELL2000,Consumer Staples,68.83,82.0,early_transition,49.8,bullish_below_zero_proxy,80.27,51.3,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
41,FWRG,FIRST WATCH RESTAURANT GROUP INC,NASDAQ+RUSSELL2000,Consumer Discretionary,68.74,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.47,50.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
42,WHG,WESTWOOD HOLDINGS GROUP INC,RUSSELL2000,Financials,68.7,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.35,50.32,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
43,KRRO,KORRO BIO INC,NASDAQ+RUSSELL2000,Health Care,68.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.67,51.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,IRTC,IRHYTHM HOLDINGS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.53,82.0,early_transition,61.8,bullish_above_signal_proxy,70.29,49.31,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,EVTC,EVERTEC INC,RUSSELL2000,Financials,68.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.25,50.1,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
46,PECO,PHILLIPS EDISON AND COMPANY INC,NASDAQ+RUSSELL2000,Real Estate,68.29,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.63,45.98,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
47,ANAB,ANAPTYSBIO INC,NASDAQ+RUSSELL2000,Health Care,68.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.4,50.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
48,GLRE,GREENLIGHT CAPITAL LTD CLASS A,NASDAQ+RUSSELL2000,Financials,68.16,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,62.33,46.72,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
49,XNCR,XENCOR INC,NASDAQ+RUSSELL2000,Health Care,68.14,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.19,50.89,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
50,BRT,BRT APARTMENTS CORP,RUSSELL2000,Real Estate,68.02,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,57.83,45.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
51,INSP,INSPIRE MEDICAL SYSTEMS INC,RUSSELL2000,Health Care,67.95,82.0,early_transition,61.8,bullish_above_signal_proxy,68.53,48.96,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,ORIC,ORIC PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,67.84,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.29,50.71,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,BNL,BROADSTONE NET LEASE INC,RUSSELL2000,Real Estate,67.83,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,57.26,45.7,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
54,ZVRA,ZEVRA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.79,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.13,50.68,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
55,ARHS,ARHAUS INC CLASS A,NASDAQ+RUSSELL2000,Consumer Discretionary,67.66,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.19,49.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
56,KRUS,KURA SUSHI USA INC,NASDAQ+RUSSELL2000,Consumer Discretionary,67.64,82.0,early_transition,61.8,bullish_above_signal_proxy,68.05,47.86,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
57,GERN,GERON CORP,NASDAQ+RUSSELL2000,Health Care,67.47,82.0,early_transition,61.8,bullish_above_signal_proxy,67.07,48.66,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
58,ARVN,ARVINAS INC,NASDAQ+RUSSELL2000,Health Care,67.42,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,59.64,47.18,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
59,IKT,INHIBIKASE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.26,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.51,50.35,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
60,DIN,DINE BRANDS GLOBAL INC,RUSSELL2000,Consumer Discretionary,67.24,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.92,49.43,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
61,MAMA,MAMAS CREATIONS INC,NASDAQ+RUSSELL2000,Consumer Staples,67.16,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.21,50.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
62,OPRT,OPORTUN FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,67.15,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.65,49.38,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
63,STOK,STOKE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.09,82.0,early_transition,61.8,bullish_above_signal_proxy,65.92,48.43,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
64,GYRE,GYRE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.07,82.0,early_transition,61.8,bullish_above_signal_proxy,65.85,48.42,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
65,PBH,PRESTIGE CONSUMER HEALTHCARE INC,RUSSELL2000,Health Care,67.05,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,58.52,46.95,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
66,RVLV,REVOLVE GROUP CLASS A INC,RUSSELL2000,Consumer Discretionary,67.03,82.0,early_transition,61.8,bullish_above_signal_proxy,66.2,47.49,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
67,JCAP,JEFFERSON CAPITAL INC,NASDAQ+RUSSELL2000,Financials,66.98,82.0,early_transition,61.8,bullish_above_signal_proxy,66.03,47.46,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
68,LCII,LCI INDUSTRIES,RUSSELL2000,Consumer Discretionary,66.95,82.0,early_transition,49.8,bullish_below_zero_proxy,75.04,49.26,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
69,NHI,NATIONAL HEALTH INVESTORS REIT INC,RUSSELL2000,Real Estate,66.93,82.0,early_transition,61.8,bullish_above_signal_proxy,65.9,47.43,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
70,ACIC,AMERICAN COASTAL INSURANCE CORP,NASDAQ+RUSSELL2000,Financials,66.91,82.0,early_transition,61.8,bullish_above_signal_proxy,65.83,47.42,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
71,EVH,EVOLENT HEALTH INC CLASS A,RUSSELL2000,Health Care,66.91,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,74.45,50.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
72,RCUS,ARCUS BIOSCIENCES INC,RUSSELL2000,Health Care,66.88,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,74.38,50.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
73,FSS,FEDERAL SIGNAL CORP,RUSSELL2000,Industrials,66.83,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,74.67,49.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
74,FDMT,4D MOLECULAR THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,66.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,74.19,50.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
75,PRGO,PERRIGO PLC,RUSSELL2000,Health Care,66.82,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,57.83,46.82,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
76,SANA,SANA BIOTECHNOLOGY INC,NASDAQ+RUSSELL2000,Health Care,66.71,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.87,50.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
77,MITK,MITEK SYSTEMS INC,NASDAQ+RUSSELL2000,Information Technology,66.59,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.95,49.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
78,JILL,J JILL INC,RUSSELL2000,Consumer Discretionary,66.55,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.82,49.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
79,AORT,ARTIVION INC,RUSSELL2000,Health Care,66.52,82.0,early_transition,49.8,bullish_below_zero_proxy,73.29,49.91,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
80,AAMI,ACADIAN ASSET MANAGEMENT INC,RUSSELL2000,Financials,66.45,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,53.08,44.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
81,ASMB,ASSEMBLY BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,66.4,82.0,early_transition,49.8,bullish_below_zero_proxy,72.9,49.83,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
82,SMPL,THE SIMPLY GOOD FOODS COMPANY,NASDAQ+RUSSELL2000,Consumer Staples,66.4,82.0,early_transition,61.8,bullish_above_signal_proxy,63.84,48.02,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
83,PLTK,PLAYTIKA HOLDING CORP,NASDAQ+RUSSELL2000,Communication,66.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.09,48.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
84,BCRX,BIOCRYST PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,66.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.46,49.74,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
85,PRAA,PRA GROUP INC,NASDAQ+RUSSELL2000,Financials,66.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.92,48.83,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
