current_rank,ticker,name,sector,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return
11,CODI,COMPASS DIVERSIFIED,Financials,11,11.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DOMO,DOMO INC CLASS B,Information Technology,12,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4.02,,,,,,,,,,
13,WLTH,WEALTHFRONT,Financials,13,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,TSBK,TIMBERLAND BANCORP INC,Financials,14,46.450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,45.990002,,,,,,,,,,,,,,,,
15,STGW,STAGWELL CLASS A,Communication,15,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NRGV,ENERGY VAULT HOLDINGS,Industrials,16,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,UNIT,UNITI GROUP INC,Communication,17,10.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MSCI,MSCI,Financials,18,573.210022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,IBM,IBM,Information Technology,19,234.839996,,,,,,,,,,,,,,16,238.735001,,,,,,,,,,,25,235.509995,,40,234.710007,0.00340841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BUR,BURFORD CAPITAL LTD,Financials,20,4.36,,,,,,,,,,,,,,,,,,,,33,4.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CVEO,CIVEO CORP,Industrials,21,34.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,RMBI,RICHMOND MUTUAL BANCORPORATION INC,Financials,22,16.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GM,General Motors,Consumer Discretionary,23,87.730003,,,,,,,,,,,,,,,,,,,,,,,,,,7,87.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,LARK,LANDMARK BANCORP INC,Financials,24,32.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,GERN,GERON,Health Care,25,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ADMA,ADMA BIOLOGICS,Health Care,26,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,DCOM,DIME COMMERCIAL BANCSHARES,Financials,27,41.279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HOG,HARLEY DAVIDSON,Consumer Discretionary,28,28.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FBLA,FB BANCORP,Financials,29,15.99,,,,,,,,,,,,,,,,,,,,,,,18,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15.82,
30,FSUN,FIRSTSUN CAPITAL BANCORP,Financials,30,40.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,WASH,WASHINGTON TRUST BANCORP INC,Financials,31,40.259998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,GIC,GLOBAL INDUSTRIAL,Industrials,32,39.825001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FISV,Fiserv,Financials,33,53.0,,,,,,,,,,,43,53.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,54.189999,,,,,,,,,,,,,,,,,,,,,,
34,TMP,TOMPKINS FINANCIAL CORP,Financials,34,99.690002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,OBT,ORANGE COUNTY BANCORP INC,Financials,35,38.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,39.389999,,,,,,,,,,,,,,,,,,,
36,BFH,BREAD FINANCIAL HOLDINGS,Financials,36,110.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,BFST,BUSINESS FIRST BANCSHARES INC,Financials,37,31.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,SRCE,1ST SOURCE,Financials,38,87.230003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,AVLN,AVALYN PHARMA INC,Health Care,39,37.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PWP,PERELLA WEINBERG PARTNERS CLASS A,Financials,40,16.799999,,,,,,,,,,,40,16.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,FOXF,FOX FACTORY HOLDING,Consumer Discretionary,41,21.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,APH,Amphenol,Information Technology,42,82.739998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BWFG,BANKWELL FINANCIAL GROUP INC,Financials,43,67.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,FBRT,FRANKLIN BSP REALTY TRUST INC,Financials,44,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,HY,HYSTER YALE INC CLASS A,Industrials,45,35.790001,,,,,,,,,,,,,,27,34.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,TTGT,TECHTARGET INC,Communication,46,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,EQBK,EQUITY BANCSHARES INC CLASS A,Financials,47,50.939999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MCBS,METROCITY BANKSHARES INC,Financials,48,35.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,35.889999,,,,,,,,,,,,,
49,CCNE,CNB FINANCIAL CORP,Financials,49,34.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,TEL,TE Connectivity,Information Technology,50,208.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
