early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
51,COR,Cencora,SPX,Health Care,60.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,54.66,46.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,OKE,Oneok,SPX,Energy,60.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,54.72,45.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,PCG,PG&E Corporation,SPX,Utilities,60.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,54.14,46.08,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
54,SBUX,Starbucks,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,60.09,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,54.25,45.1,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
55,DXCM,Dexcom,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,60.08,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,52.17,49.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
56,AVB,AvalonBay Communities,SPX,Real Estate,59.95,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,53.83,45.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
57,WMB,Williams Companies,SPX,Energy,59.94,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,53.79,45.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
58,VTRS,Viatris,NASDAQ+NASDAQ500+SPX,Health Care,59.92,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,53.27,45.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
59,PCAR,Paccar,NASDAQ+NASDAQ200+NASDAQ500+SPX,Industrials,59.72,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,51.53,48.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
60,FE,FirstEnergy,SPX,Utilities,59.7,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,52.62,45.77,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
61,GS,Goldman Sachs,SPX,Financials,59.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,52.85,44.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
62,CBRE,CBRE Group,SPX,Real Estate,59.59,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,52.73,44.8,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
63,IDXX,Idexx Laboratories,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,59.54,82.0,early_transition,49.8,bullish_below_zero_proxy,50.53,48.86,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
64,J,Jacobs Solutions,SPX,Industrials,59.48,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,52.41,44.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
65,AFL,Aflac,SPX,Financials,59.46,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,52.35,44.72,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
66,CPAY,Corpay,SPX,Financials,59.45,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,52.31,44.71,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
67,GRMN,Garmin,SPX,Consumer Discretionary,59.44,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,52.28,44.71,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
68,WBD,Warner Bros. Discovery,NASDAQ+NASDAQ200+NASDAQ500+SPX,Communication Services,59.42,82.0,early_transition,49.8,bullish_below_zero_proxy,52.22,44.69,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
69,O,Realty Income,SPX,Real Estate,59.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,51.97,44.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
