early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,OPTU,OPTIMUM COMMUNICATIONS INC CLASS A,RUSSELL2000,Communication,79.42,85.0,early_transition,63.15,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
12,SVC,SERVICE PROPERTIES TRUST,NASDAQ+RUSSELL2000,Real Estate,72.85,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,47.0,43.65,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
13,ICHR,ICHOR HOLDINGS LTD,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,72.75,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,92.63,52.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
14,ALTG,ALTA EQUIPMENT GROUP INC CLASS A,RUSSELL2000,Industrials,72.62,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,92.22,52.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,FISI,FINANCIAL INSTITUTIONS INC,NASDAQ+RUSSELL2000,Financials,72.45,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,68.52,47.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
16,COHU,COHU INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,72.43,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,91.64,52.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
17,NIC,NICOLET BANKSHARES INC,RUSSELL2000,Financials,72.17,82.0,early_transition,61.8,bullish_above_signal_proxy,81.77,50.6,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,IOVA,IOVANCE BIOTHERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,72.14,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,66.12,48.47,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
19,XPOF,XPONENTIAL FITNESS INC CLASS A,RUSSELL2000,Consumer Discretionary,72.12,85.0,early_transition,63.15,bullish_above_signal_proxy,77.87,49.82,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,OFG,OFG BANCORP,RUSSELL2000,Financials,72.1,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,66.43,47.54,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
21,SPFI,SOUTH PLAINS FINANCIAL INC,NASDAQ+RUSSELL2000,Financials,71.87,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,60.41,46.33,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
22,UCTT,ULTRA CLEAN HOLDINGS INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,71.66,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.3,52.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,IIIN,INSTEEL INDUSTRIES INC,RUSSELL2000,Industrials,71.66,82.0,early_transition,61.8,bullish_above_signal_proxy,80.22,50.29,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,ALDX,ALDEYRA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,71.52,85.0,early_transition,61.8,bullish_above_signal_proxy,76.62,50.57,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,STGW,STAGWELL INC CLASS A,NASDAQ+RUSSELL2000,Communication,71.5,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,64.62,47.17,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
26,CIVB,CIVISTA BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,71.42,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,64.38,47.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
27,GNE,GENIE ENERGY LTD CLASS B,RUSSELL2000,Utilities,71.36,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,58.39,46.93,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
28,ATLO,AMES NATIONAL CORP,NASDAQ+RUSSELL2000,Financials,71.29,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,65.02,47.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
29,LADR,LADDER CAPITAL CORP CLASS A,RUSSELL2000,Financials,71.0,85.0,early_transition,88.8,fresh_above_zero_cross_proxy,55.05,45.26,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
30,AVBP,ARRIVENT BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,70.84,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,82.63,51.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,HIMS,HIMS HERS HEALTH INC CLASS A,RUSSELL2000,Health Care,70.59,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.6,52.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,RUSSELL2000,Consumer Staples,70.41,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,61.88,47.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
33,YORW,YORK WATER,NASDAQ+RUSSELL2000,Utilities,70.38,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,51.95,45.64,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
34,FORR,FORRESTER RESEARCH INC,NASDAQ+RUSSELL2000,Industrials,70.32,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,61.06,46.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
35,BBBY,BED BATH AND BEYOND INC,RUSSELL2000,Consumer Discretionary,70.28,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,60.92,46.43,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
36,RCKT,ROCKET PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,70.09,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,67.75,48.8,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
37,ATEX,ANTERIX INC,NASDAQ+RUSSELL2000,Communication,70.07,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.5,51.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
38,JMSB,JOHN MARSHALL BANCORP INC,NASDAQ+RUSSELL2000,Financials,70.03,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,61.19,46.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
39,TMCI,TREACE MEDICAL CONCEPTS INC,NASDAQ+RUSSELL2000,Health Care,70.02,75.0,confirmed_bullish_trend,87.9,fresh_above_zero_cross_proxy,100.0,55.25,12.74,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
40,KRRO,KORRO BIO INC,NASDAQ+RUSSELL2000,Health Care,69.94,85.0,early_transition,51.15,bullish_below_zero_proxy,79.91,51.23,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
41,ETD,ETHAN ALLEN INTERIORS INC,RUSSELL2000,Consumer Discretionary,69.94,82.0,early_transition,61.8,bullish_above_signal_proxy,75.02,49.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
42,MAX,MEDIAALPHA INC CLASS A,RUSSELL2000,Communication,69.83,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.04,50.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
43,CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,NASDAQ+NASDAQ200+NASDAQ500+RUSSELL2000,Information Technology,69.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.73,51.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,EGBN,EAGLE BANCORP INC,NASDAQ+RUSSELL2000,Financials,69.72,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,62.96,46.84,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
45,MCHB,MECHANICS BANCORP CLASS A,NASDAQ+RUSSELL2000,Financials,69.7,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,53.82,45.01,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
46,CURV,TORRID HOLDINGS INC,RUSSELL2000,Consumer Discretionary,69.61,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.1,50.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
47,MVBF,MVB FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,69.6,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,62.62,46.77,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
48,PESI,PERMA FIX ENVIRONMENTAL SERVICES I,NASDAQ+RUSSELL2000,Industrials,69.56,85.0,early_transition,49.8,bullish_below_zero_proxy,80.23,50.3,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
49,CATY,CATHAY GENERAL BANCORP,NASDAQ+RUSSELL2000,Financials,69.51,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,62.35,46.72,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
50,SVCO,SILVACO GROUP INC,NASDAQ+RUSSELL2000,Information Technology,69.5,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,79.02,50.05,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
51,ACMR,ACM RESEARCH CLASS A INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,69.47,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.68,50.79,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,OCUL,OCULAR THERAPEUTIX INC,NASDAQ+RUSSELL2000,Health Care,69.39,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.97,51.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,IVT,INVENTRUST PROPERTIES CORP,RUSSELL2000,Real Estate,69.28,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.1,50.67,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
54,LMB,LIMBACH HOLDINGS INC,NASDAQ+RUSSELL2000,Industrials,69.23,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,64.55,47.16,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
55,TRIP,TRIPADVISOR INC,NASDAQ+RUSSELL2000,Communication,69.0,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.25,50.5,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
56,MASS,908 DEVICES INC,NASDAQ+RUSSELL2000,Information Technology,68.92,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.0,50.45,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
57,CHCO,CITY HOLDING,NASDAQ+RUSSELL2000,Financials,68.88,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,60.44,46.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
58,FNWD,FINWARD BANCORP,NASDAQ+RUSSELL2000,Financials,68.8,85.0,early_transition,63.15,bullish_above_signal_proxy,67.81,47.81,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
59,DAVE,DAVE INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Financials,68.79,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.61,50.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
60,HFWA,HERITAGE FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,68.74,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,60.02,46.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
61,ALX,ALEXANDERS REIT INC,RUSSELL2000,Real Estate,68.7,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,56.14,45.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
62,AVNW,AVIAT NETWORKS INC,NASDAQ+RUSSELL2000,Information Technology,68.67,82.0,early_transition,61.8,bullish_above_signal_proxy,71.17,48.48,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
63,SPRY,ARS PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,68.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.74,51.2,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
64,GDOT,GREEN DOT CORP CLASS A,RUSSELL2000,Financials,68.58,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,55.77,45.4,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
65,XPER,XPERI INC,RUSSELL2000,Information Technology,68.58,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,59.51,46.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
66,TXG,10X GENOMICS INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.54,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.41,51.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
67,LZB,LA-Z-BOY INC,RUSSELL2000,Consumer Discretionary,68.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.79,50.21,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
68,WHG,WESTWOOD HOLDINGS GROUP INC,RUSSELL2000,Financials,68.51,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.03,49.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
69,MIR,MIRION TECHNOLOGIES INC CLASS A,RUSSELL2000,Information Technology,68.5,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,62.35,46.72,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
70,SXI,STANDEX INTERNATIONAL CORP,RUSSELL2000,Industrials,68.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.7,50.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
71,SMHI,SEACOR MARINE HOLDINGS INC,RUSSELL2000,Energy,68.46,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,62.22,46.69,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
72,SRRK,SCHOLAR ROCK HOLDING CORP,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.43,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,61.68,47.59,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
73,SWIM,LATHAM GROUP INC,NASDAQ+RUSSELL2000,Consumer Discretionary,68.42,82.0,early_transition,61.8,bullish_above_signal_proxy,70.39,48.33,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
74,TCBX,THIRD COAST BANCSHARES INC,RUSSELL2000,Financials,68.42,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,59.05,46.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
75,KBH,KB HOME,RUSSELL2000,Consumer Discretionary,68.39,85.0,early_transition,63.15,bullish_above_signal_proxy,66.56,47.56,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
76,ROG,ROGERS CORP,RUSSELL2000,Information Technology,68.35,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.29,50.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
77,NBTB,NBT BANCORP INC,NASDAQ+RUSSELL2000,Financials,68.3,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.68,45.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
78,CWT,CALIFORNIA WATER SERVICE GROUP,RUSSELL2000,Utilities,68.28,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.14,46.88,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
79,MTW,MANITOWOC INC,RUSSELL2000,Industrials,68.26,85.0,early_transition,61.8,bullish_above_signal_proxy,67.19,47.69,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
80,FFIN,FIRST FINANCIAL BANKSHARES INC,NASDAQ+RUSSELL2000,Financials,68.23,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.46,45.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
81,TEX,TEREX CORP,RUSSELL2000,Industrials,68.19,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,75.06,49.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
82,BH,BIGLARI HOLDINGS INCINARY CLASS B,RUSSELL2000,Consumer Discretionary,68.16,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.72,49.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
83,HCAT,HEALTH CATALYST INC,NASDAQ+RUSSELL2000,Health Care,68.12,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.13,50.88,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
84,SYBT,STOCK YARDS BANCORP INC,NASDAQ+RUSSELL2000,Financials,68.11,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.09,45.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
