early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
244,DJCO,DAILY JOURNAL CORP,NASDAQ+RUSSELL2000,Information Technology,62.99,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.03,46.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
245,INNV,INNOVAGE HOLDING CORP,NASDAQ+RUSSELL2000,Health Care,62.99,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,11.78,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
246,LCTX,LINEAGE CELL THERAPEUTICS INC,RUSSELL2000,Health Care,62.99,82.0,early_transition,49.8,bullish_below_zero_proxy,62.57,47.76,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
247,BMRC,BANK OF MARIN BANCORP,NASDAQ+RUSSELL2000,Financials,62.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.98,46.85,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
248,CMPX,COMPASS THERAPEUTICS,NASDAQ+RUSSELL2000,Health Care,62.97,82.0,early_transition,49.8,bullish_below_zero_proxy,62.51,47.75,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
249,AII,AMERICAN INTEGRITY INSURANCE GROUP,RUSSELL2000,Financials,62.94,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.9,46.83,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
250,CASH,PATHWARD FINANCIAL INC,NASDAQ+RUSSELL2000,Financials,62.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.76,46.8,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
251,RXRX,RECURSION PHARMACEUTICALS INC CLAS,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,62.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.3,47.71,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
252,LMNR,LIMONEIRA,NASDAQ+RUSSELL2000,Consumer Staples,62.89,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.29,47.71,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
253,CXW,CORECIVIC REIT INC,RUSSELL2000,Industrials,62.89,72.0,confirmed_bullish_trend,25.0,bearish_proxy,90.62,52.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
254,BHVN,BIOHAVEN LTD,RUSSELL2000,Health Care,62.88,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,11.89,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
255,SAFT,SAFETY INSURANCE GROUP INC,NASDAQ+RUSSELL2000,Financials,62.85,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.63,46.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
256,LCII,LCI INDUSTRIES,RUSSELL2000,Consumer Discretionary,62.83,82.0,early_transition,49.8,bullish_below_zero_proxy,62.55,46.76,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
257,ERAS,ERASCA INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,62.82,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,11.95,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
258,ESNT,ESSENT GROUP LTD,RUSSELL2000,Financials,62.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.53,46.76,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
259,NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,RUSSELL2000,Consumer Staples,62.81,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.04,47.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
260,EVCM,EVERCOMMERCE INC,NASDAQ+RUSSELL2000,Information Technology,62.78,82.0,early_transition,49.8,bullish_below_zero_proxy,62.41,46.73,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
261,GRPN,GROUPON INC,NASDAQ+RUSSELL2000,Consumer Discretionary,62.73,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,11.9,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
262,GOLD,GOLD INC,RUSSELL2000,Consumer Discretionary,62.72,82.0,early_transition,61.8,bullish_above_signal_proxy,53.14,44.88,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
263,LMAT,LEMAITRE VASCULAR INC,NASDAQ+RUSSELL2000,Health Care,62.69,82.0,early_transition,49.8,bullish_below_zero_proxy,61.67,47.58,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
264,MCHB,MECHANICS BANCORP CLASS A,NASDAQ+RUSSELL2000,Financials,62.66,82.0,early_transition,61.8,bullish_above_signal_proxy,52.93,44.84,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
265,ICFI,ICF INTERNATIONAL INC,NASDAQ+RUSSELL2000,Industrials,62.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.96,46.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
266,KPTI,KARYOPHARM THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,62.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.49,47.55,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
267,CRVS,CORVUS PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,62.62,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,100.0,55.25,13.39,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
268,INTA,INTAPP INC,NASDAQ+RUSSELL2000,Information Technology,62.62,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.91,46.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
269,SPT,SPROUT SOCIAL INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,62.59,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.82,46.61,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
270,IRWD,IRONWOOD PHARMA INC CLASS A,NASDAQ+RUSSELL2000,Health Care,62.57,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,100.0,55.25,13.44,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
271,HLF,HERBALIFE LTD,RUSSELL2000,Consumer Staples,62.56,82.0,early_transition,49.8,bullish_below_zero_proxy,61.28,47.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
272,NHC,NATIONAL HEALTHCARE CORP,RUSSELL2000,Health Care,62.55,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.26,47.5,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
273,MGTX,MEIRAGTX HOLDINGS PLC,NASDAQ+RUSSELL2000,Health Care,62.54,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,12.24,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
274,TOI,ONCOLOGY INSTITUTE INC,NASDAQ+RUSSELL2000,Health Care,62.53,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.2,47.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
275,FROG,JFROG LTD,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,62.47,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.46,46.54,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
276,MMSI,MERIT MEDICAL SYSTEMS INC,NASDAQ+RUSSELL2000,Health Care,62.45,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.94,47.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
277,PRCH,PORCH GROUP INC,NASDAQ+RUSSELL2000,Information Technology,62.44,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,12.18,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
278,EXPO,EXPONENT INC,NASDAQ+RUSSELL2000,Industrials,62.41,82.0,early_transition,61.8,bullish_above_signal_proxy,52.18,44.69,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
279,KMTS,KESTRA MEDICAL TECHNOLOGIES LTD,NASDAQ+RUSSELL2000,Health Care,62.41,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,93.06,53.86,10.07,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
280,RLGT,RADIANT LOGISTIC INC,RUSSELL2000,Industrials,62.39,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.22,46.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
281,DGICA,DONEGAL GROUP INC CLASS A,NASDAQ+RUSSELL2000,Financials,62.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.15,46.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
282,OII,OCEANEERING INTERNATIONAL INC,RUSSELL2000,Energy,62.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.16,46.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
283,PHR,PHREESIA INC,RUSSELL2000,Health Care,62.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.71,47.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
284,BRBS,BLUE RIDGE BANKSHARES INC,RUSSELL2000,Financials,62.35,82.0,early_transition,61.8,bullish_above_signal_proxy,52.02,44.65,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
285,RDN,RADIAN GROUP INC,RUSSELL2000,Financials,62.35,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.09,46.47,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
286,CZFS,CITIZENS FINANCIAL SERVICES INC,NASDAQ+RUSSELL2000,Financials,62.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.96,46.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
287,QUAD,QUAD GRAPHICS INC CLASS A,RUSSELL2000,Industrials,62.3,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.93,46.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
288,NAVI,NAVIENT CORP,NASDAQ+RUSSELL2000,Financials,62.29,82.0,early_transition,61.8,bullish_above_signal_proxy,51.83,44.62,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
289,DV,DOUBLEVERIFY HOLDINGS INC,RUSSELL2000,Communication,62.23,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.72,46.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
290,BH,BIGLARI HOLDINGS INCINARY CLASS B,RUSSELL2000,Consumer Discretionary,62.19,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,94.25,53.1,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
291,IMRX,IMMUNEERING CORP CLASS A,NASDAQ+RUSSELL2000,Health Care,62.18,82.0,early_transition,59.55,bullish_above_signal_proxy,83.25,51.9,10.07,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
292,GPRE,GREEN PLAINS INC,NASDAQ+RUSSELL2000,Energy,62.17,82.0,early_transition,49.8,bullish_below_zero_proxy,60.55,46.36,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
293,SBRA,SABRA HEALTH CARE REIT INC,NASDAQ+RUSSELL2000,Real Estate,62.16,82.0,early_transition,49.8,bullish_below_zero_proxy,60.53,46.36,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
294,AIOT,POWERFLEET INC,NASDAQ+RUSSELL2000,Information Technology,62.13,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.42,46.33,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
295,USAU,US GOLD CORP,NASDAQ+RUSSELL2000,Materials,62.11,82.0,early_transition,49.8,bullish_below_zero_proxy,60.36,46.32,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
296,AGM,FEDERAL AGRICULTURAL MORTGAGE NON,RUSSELL2000,Financials,62.07,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.24,46.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
297,CBFV,CB FINANCIAL SERVICES INC,NASDAQ+RUSSELL2000,Financials,62.05,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.2,46.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
298,MGEE,MGE ENERGY INC,NASDAQ+RUSSELL2000,Utilities,62.02,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.65,47.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
299,ATEX,ANTERIX INC,NASDAQ+RUSSELL2000,Communication,61.96,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,12.66,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
300,AVO,MISSION PRODUCE INC,NASDAQ+RUSSELL2000,Consumer Staples,61.96,82.0,early_transition,59.55,bullish_above_signal_proxy,89.39,53.13,12.32,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
301,VNDA,VANDA PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,61.95,82.0,early_transition,49.8,bullish_below_zero_proxy,59.44,47.14,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
302,IBEX,IBEX LTD,NASDAQ+RUSSELL2000,Industrials,61.93,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.82,46.21,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
303,DX,DYNEX CAPITAL REIT INC,RUSSELL2000,Financials,61.88,82.0,early_transition,61.8,bullish_above_signal_proxy,50.59,44.37,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
304,IDYA,IDEAYA BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,61.87,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,91.3,53.51,10.04,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
305,IPSC,CENTURY THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,61.87,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.2,47.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
306,CTRE,CARETRUST REIT INC,RUSSELL2000,Real Estate,61.83,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.51,46.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
307,IDT,IDT CORP CLASS B,RUSSELL2000,Communication,61.8,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.44,46.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
308,CHRS,COHERUS ONCOLOGY INC,NASDAQ+RUSSELL2000,Health Care,61.78,82.0,early_transition,49.8,bullish_below_zero_proxy,58.91,47.03,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
309,TRDA,ENTRADA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,61.77,82.0,early_transition,49.8,bullish_below_zero_proxy,58.9,47.03,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
310,ORC,ORCHID ISLAND CAPITAL INC,RUSSELL2000,Financials,61.76,82.0,early_transition,61.8,bullish_above_signal_proxy,50.21,44.29,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
311,ALTO,ALTO INGREDIENTS INC,NASDAQ+RUSSELL2000,Materials,61.73,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.23,46.1,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
312,KIDS,ORTHOPEDIATRICS CORP,NASDAQ+RUSSELL2000,Health Care,61.73,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.77,47.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
313,SMTI,SANARA MEDTECH INC,NASDAQ+RUSSELL2000,Health Care,61.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.51,46.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
314,INSW,INTERNATIONAL SEAWAYS INC,RUSSELL2000,Energy,61.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.94,46.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
315,UHT,UNIVERSAL HEALTH REALTY INCOME TRU,RUSSELL2000,Real Estate,61.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.93,46.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
316,VEL,VELOCITY FINANCIAL INC,RUSSELL2000,Financials,61.63,82.0,early_transition,61.8,bullish_above_signal_proxy,49.82,44.21,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
317,LTC,LTC PROPERTIES REIT INC,RUSSELL2000,Real Estate,61.61,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.86,46.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
318,STUB,STUBHUB HOLDINGS INC CLASS A,RUSSELL2000,Communication,61.61,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,92.5,52.75,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
319,ZVRA,ZEVRA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,61.59,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,96.48,54.55,12.93,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
320,DTIL,PRECISION BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,61.57,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,13.2,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
321,TNXP,TONIX PHARMACEUTICALS HOLDING CORP,NASDAQ+RUSSELL2000,Health Care,61.57,82.0,early_transition,49.8,bullish_below_zero_proxy,58.29,46.91,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
322,TRNO,TERRENO REALTY REIT CORP,RUSSELL2000,Real Estate,61.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.72,45.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
323,ARL,AMERICAN REALTY INVESTORS INC,RUSSELL2000,Real Estate,61.52,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,13.1,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
324,CMRC,BIGCOMMERCE HOLDINGS INC SERIES,NASDAQ+RUSSELL2000,Information Technology,61.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.48,45.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
325,NATR,NATURES SUNSHINE PRODUCTS INC,NASDAQ+RUSSELL2000,Consumer Staples,61.49,82.0,early_transition,49.8,bullish_below_zero_proxy,58.05,46.86,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
326,NCMI,NATIONAL CINEMEDIA INC,NASDAQ+RUSSELL2000,Communication,61.48,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.46,45.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
327,GERN,GERON CORP,NASDAQ+RUSSELL2000,Health Care,61.47,82.0,early_transition,59.55,bullish_above_signal_proxy,88.1,52.87,12.38,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
328,ENVA,ENOVA INTERNATIONAL INC,RUSSELL2000,Financials,61.47,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,92.08,52.67,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
