rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
26,FCF,FIRST COMMONWEALTH FINANCIAL CORP,Financials,11.58,Deep v3 Daily CNN 确认层 未确认,21.25,56.0,0.9,0.01383593,0.01166394,-0.01346337,87.7,75.35,69.9,80.66,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 11.6,Deep v3 Daily CNN 确认层,no,11.58,2026-09-10
27,TRST,TRUSTCO BANK CORP,Financials,7.59,Deep v3 Daily CNN 确认层 未确认,58.419998,62.66,1.2,0.02106088,0.01830223,0.04340053,75.1,66.44,100.0,80.66,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 7.6,Deep v3 Daily CNN 确认层,no,7.59,2026-09-10
28,PGC,PEAPACK GLADSTONE FINANCIAL CORP,Financials,7.5,Deep v3 Daily CNN 确认层 未确认,46.040001,55.24,0.86,0.01331573,0.01320427,0.01142357,87.7,71.08,77.6,80.66,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 7.5,Deep v3 Daily CNN 确认层,no,7.5,2026-09-10
29,SFST,SOUTHERN FIRST BANCSHARES INC,Financials,6.28,Deep v3 Daily CNN 确认层 未确认,63.419998,55.92,0.71,0.02125604,0.01301810,-0.00220269,90.4,78.29,69.9,80.66,30.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 6.3,Deep v3 Daily CNN 确认层,no,6.28,2026-09-10
30,NTRS,Northern Trust,Financials,5.71,Deep v3 Daily CNN 确认层 未确认,187.190002,55.07,1.01,0.01238512,0.01728171,-0.00314196,92.8,53.53,81.1,80.68,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 5.7,Deep v3 Daily CNN 确认层,no,5.71,2026-09-10
31,FBNC,FIRST BANCORP,Financials,5.63,Deep v3 Daily CNN 确认层 未确认,64.68,53.6,1.17,0.01236502,0.00747668,-0.00812757,90.4,66.14,69.9,80.66,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 5.6,Deep v3 Daily CNN 确认层,no,5.63,2026-09-10
32,FISI,FINANCIAL INSTITUTIONS INC,Financials,5.06,Deep v3 Daily CNN 确认层 未确认,41.09,51.62,1.22,0.01032707,0.00612145,-0.01273424,90.4,53.23,69.9,67.46,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 5.1,Deep v3 Daily CNN 确认层,no,5.06,2026-09-10
33,CHRW,C.H. Robinson,Industrials,1.22,Deep v3 Daily CNN 确认层 未确认,152.419998,59.01,1.46,0.00620545,0.04957993,0.05001374,87.7,57.04,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 1.2,Deep v3 Daily CNN 确认层,no,1.22,2026-09-10
34,ONT,ONTERRIS,Industrials,0.0,Deep v3 Daily CNN 确认层 数据不足,18.17,61.23,0.56,0.02539509,0.04726225,0.10590383,87.7,72.35,100.0,80.66,30.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
35,MATX,MATSON INC,Industrials,0.0,Deep v3 Daily CNN 确认层 数据不足,228.199997,62.45,1.29,0.02380041,0.04530255,0.11638370,82.9,67.2,100.0,80.66,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
