early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
14,NCLH,Norwegian Cruise Line Holdings,SPX,Consumer Discretionary,64.91,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.86,48.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,ROK,Rockwell Automation,SPX,Industrials,64.88,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.05,53.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
16,ABT,Abbott Laboratories,SPX,Health Care,64.72,82.0,early_transition,61.8,bullish_above_signal_proxy,57.13,50.18,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
17,MDT,Medtronic,SPX,Health Care,64.7,82.0,early_transition,61.8,bullish_above_signal_proxy,57.1,50.17,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,BAX,Baxter International,SPX,Health Care,64.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.03,51.96,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,ACGL,Arch Capital Group,NASDAQ+NASDAQ500+SPX,Financials,64.52,82.0,early_transition,61.8,bullish_above_signal_proxy,58.58,45.97,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,AWK,American Water Works,SPX,Utilities,64.48,82.0,early_transition,61.8,bullish_above_signal_proxy,57.99,46.85,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,CARR,Carrier Global,SPX,Industrials,64.44,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.44,47.74,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,SPG,Simon Property Group,SPX,Real Estate,64.43,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.39,47.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,PH,Parker Hannifin,SPX,Industrials,64.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.67,47.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,YUM,Yum! Brands,SPX,Consumer Discretionary,64.14,82.0,early_transition,61.8,bullish_above_signal_proxy,57.44,45.74,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,SCHW,Charles Schwab Corporation,SPX,Financials,63.97,82.0,early_transition,61.8,bullish_above_signal_proxy,56.93,45.64,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
26,CMI,Cummins,SPX,Industrials,63.96,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.39,50.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
27,INTC,Intel,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,63.93,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.93,53.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
28,GIS,General Mills,SPX,Consumer Staples,63.92,82.0,early_transition,61.8,bullish_above_signal_proxy,56.32,46.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
29,XYL,Xylem Inc.,SPX,Industrials,63.92,82.0,early_transition,61.8,bullish_above_signal_proxy,56.76,45.6,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
30,SYK,Stryker Corporation,SPX,Health Care,63.87,82.0,early_transition,61.8,bullish_above_signal_proxy,54.56,49.66,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,SW,Smurfit Westrock,SPX,Materials,63.83,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.58,47.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,AJG,Arthur J. Gallagher & Co.,SPX,Financials,63.58,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.83,47.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,SRE,Sempra,SPX,Utilities,63.42,82.0,early_transition,61.8,bullish_above_signal_proxy,54.8,46.21,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,RSG,Republic Services,SPX,Industrials,63.38,82.0,early_transition,61.8,bullish_above_signal_proxy,55.14,45.28,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
35,DHR,Danaher Corporation,SPX,Health Care,63.33,82.0,early_transition,61.8,bullish_above_signal_proxy,54.52,46.15,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,RCL,Royal Caribbean Group,SPX,Consumer Discretionary,63.33,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.06,47.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
37,DUK,Duke Energy,SPX,Utilities,63.19,82.0,early_transition,61.8,bullish_above_signal_proxy,54.09,46.07,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
38,DHI,D. R. Horton,SPX,Consumer Discretionary,63.01,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.11,46.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
39,RVTY,Revvity,SPX,Health Care,62.99,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.0,50.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
40,IP,International Paper,SPX,Materials,62.98,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.0,46.85,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
41,RTX,RTX Corporation,SPX,Industrials,62.96,82.0,early_transition,61.8,bullish_above_signal_proxy,53.87,45.02,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
42,MKC,McCormick & Company,SPX,Consumer Staples,62.91,82.0,early_transition,49.8,bullish_below_zero_proxy,62.36,47.72,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
43,COR,Cencora,SPX,Health Care,62.88,82.0,early_transition,61.8,bullish_above_signal_proxy,53.16,45.88,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,CLX,Clorox,SPX,Consumer Staples,62.79,82.0,early_transition,61.8,bullish_above_signal_proxy,52.89,45.83,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,EG,Everest Group,SPX,Financials,62.78,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.39,46.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
46,JPM,JPMorgan Chase,SPX,Financials,62.76,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.34,46.72,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
47,ABNB,Airbnb,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,62.74,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.27,46.7,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
48,EXC,Exelon,NASDAQ+NASDAQ200+NASDAQ500+SPX,Utilities,62.73,82.0,early_transition,61.8,bullish_above_signal_proxy,52.7,45.79,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
49,VRSK,Verisk Analytics,NASDAQ+NASDAQ500+SPX,Industrials,62.73,82.0,early_transition,61.8,bullish_above_signal_proxy,53.17,44.88,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
50,WRB,W. R. Berkley Corporation,SPX,Financials,62.71,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.2,46.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
51,PCG,PG&E Corporation,SPX,Utilities,62.69,82.0,early_transition,61.8,bullish_above_signal_proxy,52.58,45.77,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,PCAR,Paccar,NASDAQ+NASDAQ200+NASDAQ500+SPX,Industrials,62.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.14,49.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,DG,Dollar General,SPX,Consumer Staples,62.53,82.0,early_transition,61.8,bullish_above_signal_proxy,52.11,45.67,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
54,TT,Trane Technologies,SPX,Industrials,62.48,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.49,46.55,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
55,TMO,Thermo Fisher Scientific,SPX,Health Care,62.47,82.0,early_transition,61.8,bullish_above_signal_proxy,51.91,45.63,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
56,BKNG,Booking Holdings,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,62.44,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.37,46.52,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
57,FIX,Comfort Systems USA,SPX,Industrials,62.38,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.18,46.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
58,AEP,American Electric Power,NASDAQ+NASDAQ200+NASDAQ500+SPX,Utilities,62.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.71,47.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
59,AVY,Avery Dennison,SPX,Materials,62.37,82.0,early_transition,61.8,bullish_above_signal_proxy,52.07,44.66,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
60,CB,Chubb Limited,SPX,Financials,62.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.06,46.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
61,BDX,Becton Dickinson,SPX,Health Care,62.31,82.0,early_transition,49.8,bullish_below_zero_proxy,58.94,50.54,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
62,MRVL,Marvell Technology,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,62.29,72.0,confirmed_bullish_trend,25.0,bearish_proxy,85.84,57.92,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
63,PNW,Pinnacle West Capital,SPX,Utilities,62.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.23,47.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
64,ECL,Ecolab,SPX,Materials,62.16,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.51,46.35,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
65,PNR,Pentair,SPX,Industrials,62.13,82.0,early_transition,49.8,bullish_below_zero_proxy,60.44,46.34,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
66,MLM,Martin Marietta Materials,SPX,Materials,62.12,82.0,early_transition,61.8,bullish_above_signal_proxy,51.3,44.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
67,HUBB,Hubbell Incorporated,SPX,Industrials,62.09,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.3,46.31,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
68,J,Jacobs Solutions,SPX,Industrials,62.08,82.0,early_transition,61.8,bullish_above_signal_proxy,51.18,44.49,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
69,VLO,Valero Energy,SPX,Energy,62.05,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.2,46.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
70,UNH,UnitedHealth Group,SPX,Health Care,62.0,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.59,47.17,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
71,ARE,Alexandria Real Estate Equities,SPX,Real Estate,61.96,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.91,46.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
72,FAST,Fastenal,NASDAQ+NASDAQ200+NASDAQ500+SPX,Industrials,61.92,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.79,46.21,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
73,UBER,Uber,SPX,Industrials,61.9,82.0,early_transition,49.8,bullish_below_zero_proxy,59.73,46.2,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
74,LEN,Lennar,SPX,Consumer Discretionary,61.86,82.0,early_transition,61.8,bullish_above_signal_proxy,50.51,44.35,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
75,TDY,Teledyne Technologies,SPX,Information Technology,61.81,82.0,early_transition,49.8,bullish_below_zero_proxy,57.87,49.32,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
76,FE,FirstEnergy,SPX,Utilities,61.8,82.0,early_transition,61.8,bullish_above_signal_proxy,49.88,45.23,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
77,KEY,KeyCorp,SPX,Financials,61.71,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.16,46.08,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
78,ITW,Illinois Tool Works,SPX,Industrials,61.7,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.12,46.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
79,VLTO,Veralto,SPX,Industrials,61.69,82.0,early_transition,49.8,bullish_below_zero_proxy,59.09,46.07,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
80,AXP,American Express,SPX,Financials,61.68,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.05,46.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
81,AME,Ametek,SPX,Industrials,61.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.25,51.5,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
82,AEE,Ameren,SPX,Utilities,61.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.48,46.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
83,GNRC,Generac,SPX,Industrials,61.57,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.0,51.45,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
84,WM,Waste Management,SPX,Industrials,61.53,82.0,early_transition,49.8,bullish_below_zero_proxy,58.63,45.98,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
85,ETN,Eaton Corporation,SPX,Industrials,61.5,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,55.81,51.41,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
86,TRGP,Targa Resources,SPX,Energy,61.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.48,45.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
87,CBRE,CBRE Group,SPX,Real Estate,61.48,82.0,early_transition,49.8,bullish_below_zero_proxy,58.47,45.94,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
88,SYF,Synchrony Financial,SPX,Financials,61.46,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.41,45.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
89,CMG,Chipotle Mexican Grill,SPX,Consumer Discretionary,61.45,82.0,early_transition,49.8,bullish_below_zero_proxy,58.36,45.92,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
90,MAA,Mid-America Apartment Communities,SPX,Real Estate,61.44,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.34,45.92,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
91,CNP,CenterPoint Energy,SPX,Utilities,61.42,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,57.82,46.81,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
92,PPG,PPG Industries,SPX,Materials,61.42,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.28,45.91,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
93,GPN,Global Payments,SPX,Financials,61.41,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,41.87,42.62,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
94,ES,Eversource Energy,SPX,Utilities,61.35,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,57.61,46.77,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
95,AIZ,Assurant,SPX,Financials,61.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.05,45.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
96,SNA,Snap-on,SPX,Industrials,61.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.03,45.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
97,CMS,CMS Energy,SPX,Utilities,61.32,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,57.54,46.76,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
