early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
47,VRDN,VIRIDIAN THERAPEUTICS ORS INC,NASDAQ+RUSSELL2000,Health Care,69.29,82.0,early_transition,61.8,bullish_above_signal_proxy,72.58,49.77,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
48,BKD,BROOKDALE SENIOR LIVING INC,RUSSELL2000,Health Care,69.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.55,51.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
49,ZVRA,ZEVRA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,69.22,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.47,51.54,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
50,EVTC,EVERTEC INC,RUSSELL2000,Financials,69.17,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.76,50.6,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
51,FCEL,FUELCELL ENERGY INC,NASDAQ+NASDAQ500+RUSSELL2000,Industrials,69.1,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.55,50.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,FLO,FLOWERS FOODS INC,RUSSELL2000,Consumer Staples,69.09,82.0,early_transition,61.8,bullish_above_signal_proxy,71.99,49.65,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,ARHS,ARHAUS INC CLASS A,NASDAQ+RUSSELL2000,Consumer Discretionary,69.04,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.37,50.52,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
54,RCUS,ARCUS BIOSCIENCES INC,RUSSELL2000,Health Care,68.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.69,51.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
55,ACHV,ACHIEVE LIFE SCIENCES INC,NASDAQ+RUSSELL2000,Health Care,68.88,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.42,51.33,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
56,NKTR,NEKTAR THERAPEUTICS,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.69,82.0,early_transition,49.8,bullish_below_zero_proxy,79.85,51.22,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
57,NGNE,NEUROGENE INC,NASDAQ+RUSSELL2000,Health Care,68.68,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.81,51.21,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
58,KMPR,KEMPER CORP,RUSSELL2000,Financials,68.68,82.0,early_transition,49.8,bullish_below_zero_proxy,80.28,50.31,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
59,TRAX,FIRST TRACKS BIOTHERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,68.64,82.0,early_transition,49.8,bullish_below_zero_proxy,79.7,51.19,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
60,NATR,NATURES SUNSHINE PRODUCTS INC,NASDAQ+RUSSELL2000,Consumer Staples,68.58,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,63.17,47.88,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
61,CASH,PATHWARD FINANCIAL INC,NASDAQ+RUSSELL2000,Financials,68.56,82.0,early_transition,61.8,bullish_above_signal_proxy,70.81,48.41,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
62,PMTS,CPI CARD GROUP INC,NASDAQ+RUSSELL2000,Information Technology,68.5,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.72,50.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
63,JBLU,JETBLUE AIRWAYS CORP,NASDAQ+NASDAQ500+RUSSELL2000,Industrials,68.45,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,75.83,49.42,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
64,PRME,PRIME MEDICINE INC,NASDAQ+RUSSELL2000,Health Care,68.45,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.12,51.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
65,BCRX,BIOCRYST PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,68.44,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.1,51.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
66,PTLO,PORTILLO S INC CLASS A,NASDAQ+RUSSELL2000,Consumer Discretionary,68.44,82.0,early_transition,61.8,bullish_above_signal_proxy,70.47,48.34,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
67,STOK,STOKE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,68.42,82.0,early_transition,61.8,bullish_above_signal_proxy,69.96,49.24,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
68,CSTL,CASTLE BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,68.39,82.0,early_transition,61.8,bullish_above_signal_proxy,69.84,49.22,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
