early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
83,AES,AES Corporation,SPX,Utilities,58.74,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,48.55,47.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
84,AMZN,Amazon,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,58.64,82.0,early_transition,49.8,bullish_below_zero_proxy,49.85,44.22,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
85,CVNA,Carvana,SPX,Consumer Discretionary,58.59,82.0,early_transition,49.8,bullish_below_zero_proxy,49.7,44.19,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
86,TMUS,T-Mobile US,NASDAQ+NASDAQ200+NASDAQ500+SPX,Communication Services,58.51,82.0,early_transition,49.8,bullish_below_zero_proxy,49.47,44.14,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
87,EXR,Extra Space Storage,SPX,Real Estate,58.44,100.0,fresh_bullish_cross,25.0,bearish_proxy,51.68,44.59,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
88,MOS,Mosaic Company (The),SPX,Materials,58.17,82.0,early_transition,49.8,bullish_below_zero_proxy,48.42,43.93,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
89,ODFL,Old Dominion,NASDAQ+NASDAQ200+NASDAQ500+SPX,Industrials,58.15,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,48.39,43.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
90,PLTR,Palantir Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,58.13,82.0,early_transition,49.8,bullish_below_zero_proxy,48.31,43.91,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
91,CRL,Charles River Laboratories,SPX,Health Care,58.08,72.0,confirmed_bullish_trend,25.0,bearish_proxy,75.57,50.36,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
92,PKG,Packaging Corporation of America,SPX,Materials,57.77,100.0,fresh_bullish_cross,25.0,bearish_proxy,49.64,44.18,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
93,CHD,Church & Dwight,SPX,Consumer Staples,57.7,100.0,fresh_bullish_cross,25.0,bearish_proxy,48.99,45.05,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
