current_rank,ticker,name,sector,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
89,RBB,RBB BANCORP,Financials,89,25.5,,68,25.64,-0.005460218408736339
90,SRBK,SR BANCORP INC,Financials,90,19.13,,1271,19.006,0.006524255498263631
91,DAVE,DAVE INC CLASS A,Financials,91,309.72,,92,311.17,-0.004659832246039053
92,AMLX,AMYLYX PHARMACEUTICALS INC,Health Care,92,16.28,,101,16.14,0.00867410161090465
93,HY,HYSTER YALE INC CLASS A,Industrials,93,38.54,,378,38.795,-0.0065730119860807346
94,OM,OUTSET MEDICAL INC,Health Care,94,4.88,,648,4.96,-0.016129032258064502
95,ALG,ALAMO GROUP INC,Industrials,95,161.05,,944,162.21,-0.0071512237223352315
96,CURV,TORRID HOLDINGS INC,Consumer Discretionary,96,1.91,,503,1.88,0.015957446808510634
97,OUST,OUSTER INC,Information Technology,97,47.68,,529,49.97,-0.045827496497898745
98,FCBC,FIRST COMMUNITY BANKSHARES INC,Financials,98,43.86,,684,43.93,-0.0015934441156385537
99,MNKD,MANNKIND CORP,Health Care,99,3.89,,80,3.92,-0.007653061224489721
100,TPC,TUTOR PERINI CORP,Industrials,100,81.5,,956,81.08,0.0051800690675876115
101,ACAD,ACADIA PHARMACEUTICALS INC,Health Care,101,22.09,,1387,22.39,-0.013398838767306853
102,AEHR,AEHR TEST SYSTEMS,Information Technology,102,113.33,,76,117.04,-0.03169856459330145
103,HBT,HBT FINANCIAL INC,Financials,103,30.48,,213,30.505,-0.0008195377806916593
104,SKYW,SKYWEST INC,Industrials,104,93.1,,48,93.94,-0.008941877794336861
105,VERA,VERA THERAPEUTICS INC CLASS A,Health Care,105,38.43,,1379,38.06,0.009721492380451835
106,HDSN,HUDSON TECHNOLOGIES INC,Industrials,106,5.76,,103,5.755,0.0008688097306690512
107,SB,SAFE BULKERS INC,Industrials,107,7.01,,953,7.065,-0.007784854918612916
108,FNWD,FINWARD BANCORP,Financials,108,34.44,,104,34.0,0.012941176470588234
109,AEBI,AEBI SCHMIDT HOLDING AG,Industrials,109,12.48,,884,12.495,-0.0012004801920767472
