rank,ticker,first_seen_date,buy_date,latest_date,close,entry_return,exit_score,action,sell_signal,consecutive_signal_days,sell_reasons,drawdown_63d,change_5d,change_20d,rsi14,chart_href
35,GLW,2026-07-06,2026-07-06,2026-09-08,167.565002,-0.13981006458198053,58.0,WATCH,True,44,硬止损: 持仓相对成本约 -14.0%，超过 -7% 防线; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -34.5%,-0.344655634990374,0.12663891956266848,0.06215141550936276,58.497026604817805,exit-risk-trends.html#ticker-glw
36,INTC,2026-07-02,2026-07-02,2026-09-08,104.910103,-0.12829160994252775,58.0,WATCH,True,45,硬止损: 持仓相对成本约 -12.8%，超过 -7% 防线; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -25.6%,-0.2556399779247909,0.1720489404077994,0.07578041660522206,62.09667785216107,exit-risk-trends.html#ticker-intc
37,AVGO,2026-06-26,2026-06-30,2026-09-08,369.200012,-0.022633985440105864,55.0,TRIM,True,24,新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -12.6%; 动能转弱: RSI 45.7 低于50; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -13.7%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.13689918793484224,-0.0030782092464027855,-0.12594692887235215,45.71623407616078,exit-risk-trends.html#ticker-avgo
38,CSCO,2026-07-02,2026-07-02,2026-09-08,108.779999,-0.03469698225757423,55.0,TRIM,True,16,新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -11.3%; 动能转弱: RSI 40.0 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -12.2%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.12189214050433017,-0.015476504941198344,-0.11250714693644437,40.02928254931721,exit-risk-trends.html#ticker-csco
39,DRAM,2026-07-02,2026-07-02,2026-07-06,64.76,0.06811809335312558,55.0,WATCH,True,44,利润保护: 阶段回撤扩大且价格低于 EMA26; 派发聚集: 最近5日出现 2 个放量下跌日; 动能转弱: 5日跌幅 -9.9%; 动能转弱: RSI 49.5 低于50; 动能转弱: MACD 低于 signal; 结构弱势: 63日高点回撤 -19.8%,-0.19772051536174418,-0.09905397885364486,-0.014307458143074547,49.49293614055813,exit-risk-trends.html#ticker-dram
40,ORLY,2026-07-06,2026-07-06,2026-09-08,85.959999,0.020417866106786864,55.0,TRIM,True,7,新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 38.4 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.08093659874838666,-0.031982025946553305,-0.06798225952567738,38.36933395358482,exit-risk-trends.html#ticker-orly
41,XE,2026-07-02,2026-07-02,2026-09-08,18.885,0.09351476548928783,55.0,TRIM,True,23,利润保护: 盈利持仓从阶段高位回撤 -17.5%; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -8.5%; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -17.5%; 陈旧弱势过滤: 弱势已持续但缺少新的破位触发，降低立即卖出权重; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.17460660728175725,0.023577180293919753,-0.08502902543745272,51.47804569051653,exit-risk-trends.html#ticker-xe
42,IP,2026-06-26,2026-06-30,2026-09-08,36.889999,-0.03175850560412097,51.0,WATCH,True,6,新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -10.8%; 动能转弱: RSI 37.9 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -16.3%,-0.16330235881152189,-0.027418955971526437,-0.10764395258829218,37.92893011079509,exit-risk-trends.html#ticker-ip
43,PCAR,2026-07-06,2026-07-06,2026-09-08,122.870003,-0.024144237180708905,41.0,WATCH,True,6,新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 38.3 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -11.1%,-0.1109905449899875,-0.010150600422555445,-0.06377630052665728,38.34163120854351,exit-risk-trends.html#ticker-pcar
44,ROP,2026-07-02,2026-07-02,2026-09-08,394.209991,0.08239971996486362,40.0,WATCH,True,1,新鲜破位: 收盘新跌破 EMA26; 动能转弱: 5日跌幅 -7.2%; 动能转弱: RSI 44.5 低于45; 动能转弱: MACD 低于 signal,-0.07505870506639034,-0.07166075481605283,-0.02396698021861221,44.5489988096607,exit-risk-trends.html#ticker-rop
45,RMD,2026-07-02,2026-07-02,2026-09-08,222.009995,0.059056383650804234,36.0,WATCH,True,1,新鲜破位: 收盘新跌破 EMA26; 动能转弱: 5日跌幅 -7.5%; 动能转弱: RSI 46.1 低于50; 动能转弱: MACD 低于 signal,-0.07622854761179587,-0.07534365076192462,0.008907030098972646,46.06210842134488,exit-risk-trends.html#ticker-rmd
46,AME,2026-07-02,2026-07-02,2026-09-08,239.419998,0.020458627151535014,34.0,WATCH,True,1,新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 47.5 低于50; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26,-0.07388206642697948,0.01807203315109951,-0.05322685358219614,47.54468557334202,exit-risk-trends.html#ticker-ame
47,STX,2026-07-02,2026-07-02,2026-09-08,922.849976,0.1252072844086478,29.0,HOLD,False,0,利润保护: 盈利持仓从阶段高位回撤 -15.6%; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -15.6%,-0.15647513518470046,0.11404182914820593,0.1521367152166282,58.905591129450826,exit-risk-trends.html#ticker-stx
48,FIGR,2026-06-26,2026-06-30,2026-09-08,37.639999,0.22565940168216891,28.0,HOLD,False,0,利润保护: 盈利持仓从阶段高位回撤 -8.5%; 动能转弱: MACD 低于 signal,-0.08507535452297899,0.025892614496936917,0.306037439278279,58.24651428720786,exit-risk-trends.html#ticker-figr
49,ZBRA,2026-07-02,2026-07-02,2026-09-08,350.190002,0.3106894646860776,28.0,HOLD,False,0,利润保护: 盈利持仓从阶段高位回撤 -8.6%; 动能转弱: MACD 低于 signal,-0.08580900164887495,-0.009503567003373736,-0.07376741948523191,52.42693937248316,exit-risk-trends.html#ticker-zbra
50,J,2026-06-26,2026-06-30,2026-09-08,144.535004,0.14710320634920615,26.0,HOLD,False,0,新鲜破位: 收盘新跌破 EMA26; 动能转弱: RSI 49.2 低于50; 动能转弱: MACD 低于 signal,-0.04898665742825792,-0.03029184105417304,-0.01897100361133519,49.16125567319985,exit-risk-trends.html#ticker-j
51,TSM,2026-07-02,2026-07-02,2026-07-06,451.79,0.04060714943799515,24.0,HOLD,False,0,派发聚集: 最近5日出现 2 个放量下跌日; 动能转弱: MACD 低于 signal,-0.05398161526058998,0.044963571180756334,0.015440978153375973,54.57631978471541,exit-risk-trends.html#ticker-tsm
52,NBIS,2026-07-06,2026-07-02,2026-09-08,246.0,0.1408960472334675,23.0,HOLD,False,0,利润保护: 盈利持仓从阶段高位回撤 -14.2%; 结构弱势: 63日高点回撤 -14.2%,-0.14193031398423162,0.1923225652081333,0.3361577245333891,59.01750888437712,exit-risk-trends.html#ticker-nbis
53,VRT,2026-07-02,2026-07-02,2026-09-08,293.859985,-0.02219417037298821,13.0,HOLD,False,0,结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -17.9%,-0.17907030844684546,0.1358224484546131,0.08796733977118087,60.282556924248816,exit-risk-trends.html#ticker-vrt
54,QCOM,2026-07-02,2026-07-02,2026-09-08,175.740005,-0.0028935886524822374,9.0,HOLD,False,0,结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -22.3%,-0.22276766077233356,0.030854112643221798,0.08367766644481311,60.43512495405927,exit-risk-trends.html#ticker-qcom
55,ED,2026-06-26,2026-06-30,2026-09-08,108.720001,-0.017264720706807957,8.0,HOLD,False,0,结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50,-0.0462321001181174,0.01588491915207202,0.02276573783351621,51.87534640063827,exit-risk-trends.html#ticker-ed
56,ESP,2026-07-06,2026-07-06,2026-09-08,63.855,-0.01927508801604838,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.05189306761375112,0.01988498610629308,0.03125003330910947,56.02519732097169,exit-risk-trends.html#ticker-esp
57,GPC,2026-06-26,2026-06-30,2026-09-08,134.324997,0.1385403762025672,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.03702779994882066,-0.009913768849616922,-0.0015980081104955968,51.764434456442594,exit-risk-trends.html#ticker-gpc
58,MRK,2026-07-06,2026-07-06,2026-09-08,148.535004,0.1715965071115042,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.05059119943607293,0.0052450529657908085,0.1345478633447581,58.77862049751973,exit-risk-trends.html#ticker-mrk
59,MSFT,2026-07-02,2026-07-02,2026-09-08,491.640015,0.25903359264087666,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.042626551056082485,-0.030850191650433234,-0.028494611423525273,54.71073510414852,exit-risk-trends.html#ticker-msft
60,CMG,2026-07-02,2026-07-02,2026-09-08,37.084999,0.047894886914238155,0.0,HOLD,False,0,暂无明确卖出风险信号。,-0.03725340083073725,-0.024848804229523958,0.1538581255089646,55.97193199610025,exit-risk-trends.html#ticker-cmg
61,COR,2026-07-06,2026-07-06,2026-09-08,328.040009,0.09877749852731532,0.0,HOLD,False,0,暂无明确卖出风险信号。,-0.02722256085871977,0.013720651785154692,0.009353873846153826,56.14476344160288,exit-risk-trends.html#ticker-cor
62,EQR,2026-06-26,2026-06-30,,,,0.0,ERROR,False,0,数据读取失败: HTTP Error 429: Too Many Requests,,,,,exit-risk-trends.html#ticker-eqr
