early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,LILAK,LIBERTY LATIN AMERICA LTD CLASS C,NASDAQ+RUSSELL2000,Communication,79.45,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,96.57,53.56,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
20,PRLD,PRELUDE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,71.33,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.87,52.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,FWRD,FORWARD AIR CORP,NASDAQ+RUSSELL2000,Industrials,71.29,82.0,early_transition,61.8,bullish_above_signal_proxy,79.09,50.07,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,NGNE,NEUROGENE INC,NASDAQ+RUSSELL2000,Health Care,71.29,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.75,52.8,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,GT,GOODYEAR TIRE & RUBBER,NASDAQ+NASDAQ500+RUSSELL2000,Consumer Discretionary,71.23,82.0,early_transition,61.8,bullish_above_signal_proxy,78.91,50.03,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,XNCR,XENCOR INC,NASDAQ+RUSSELL2000,Health Care,71.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.48,52.75,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,ENTA,ENANTA PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,71.12,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.22,52.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
26,AMLX,AMYLYX PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,71.05,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.0,52.65,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
27,GENB,GENERATE BIOMEDICINES INC,NASDAQ+RUSSELL2000,Health Care,70.93,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,86.65,52.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
28,EIKN,EIKON THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,70.81,82.0,early_transition,61.8,bullish_above_signal_proxy,77.19,50.69,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
29,TRUP,TRUPANION INC,NASDAQ+RUSSELL2000,Financials,70.63,82.0,early_transition,61.8,bullish_above_signal_proxy,77.1,49.67,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
30,ICHR,ICHOR HOLDINGS LTD,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,70.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.86,51.42,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,REAX,REAL BROKERAGE INC,NASDAQ+RUSSELL2000,Real Estate,70.49,82.0,early_transition,49.8,bullish_below_zero_proxy,85.76,51.4,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
32,CBFV,CB FINANCIAL SERVICES INC,NASDAQ+RUSSELL2000,Financials,70.45,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.65,51.38,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,CLYM,CLIMB BIO INC,NASDAQ+RUSSELL2000,Health Care,70.36,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.91,52.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,ACHV,ACHIEVE LIFE SCIENCES INC,NASDAQ+RUSSELL2000,Health Care,70.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.77,52.2,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
35,ACH,ACCENDRA HEALTH INC,RUSSELL2000,Health Care,70.3,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.72,52.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,LFMD,LIFEMD INC,NASDAQ+RUSSELL2000,Health Care,70.25,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,51.55,45.56,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
37,AORT,ARTIVION INC,RUSSELL2000,Health Care,70.23,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,68.16,48.88,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
38,FCEL,FUELCELL ENERGY INC,NASDAQ+NASDAQ500+RUSSELL2000,Industrials,70.03,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.36,51.12,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
39,DNLI,DENALI THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,70.0,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.83,52.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
40,MAMA,MAMAS CREATIONS INC,NASDAQ+RUSSELL2000,Consumer Staples,69.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.53,51.96,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
41,JACK,JACK IN THE BOX INC,NASDAQ+RUSSELL2000,Consumer Discretionary,69.84,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.79,51.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
42,CGON,CG ONCOLOGY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,69.78,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.17,51.88,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
43,PRAA,PRA GROUP INC,NASDAQ+RUSSELL2000,Financials,69.73,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.45,50.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,LARK,LANDMARK BANCORP INC,NASDAQ+RUSSELL2000,Financials,69.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.17,50.88,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,OI,O I GLASS INC,RUSSELL2000,Materials,69.61,82.0,early_transition,61.8,bullish_above_signal_proxy,74.02,49.05,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
46,FBYD,FALCON S BEYOND GLOBAL INC CLASS A,NASDAQ+RUSSELL2000,Industrials,69.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.83,50.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
47,SNDX,SYNDAX PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,69.46,82.0,early_transition,61.8,bullish_above_signal_proxy,73.1,49.87,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
48,JCAP,JEFFERSON CAPITAL INC,NASDAQ+RUSSELL2000,Financials,69.28,82.0,early_transition,61.8,bullish_above_signal_proxy,73.0,48.85,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
49,RCUS,ARCUS BIOSCIENCES INC,RUSSELL2000,Health Care,69.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.57,51.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
50,YELP,YELP INC,RUSSELL2000,Communication,69.25,82.0,early_transition,61.8,bullish_above_signal_proxy,72.91,48.83,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
51,HROW,HARROW INC,NASDAQ+RUSSELL2000,Health Care,69.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.38,51.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,IRTC,IRHYTHM HOLDINGS INC,NASDAQ+RUSSELL2000,Health Care,69.19,82.0,early_transition,61.8,bullish_above_signal_proxy,72.3,49.71,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,VRDN,VIRIDIAN THERAPEUTICS ORS INC,NASDAQ+RUSSELL2000,Health Care,69.19,82.0,early_transition,61.8,bullish_above_signal_proxy,72.28,49.71,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
54,HDSN,HUDSON TECHNOLOGIES INC,NASDAQ+RUSSELL2000,Industrials,69.01,82.0,early_transition,61.8,bullish_above_signal_proxy,72.2,48.69,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
55,TARS,TARSUS PHARMACEUTICALS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.96,82.0,early_transition,61.8,bullish_above_signal_proxy,71.57,49.56,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
56,EVTC,EVERTEC INC,RUSSELL2000,Financials,68.85,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.81,50.41,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
57,NVRI,ENVIRI CORP,RUSSELL2000,Industrials,68.8,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.66,50.38,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
58,ZVRA,ZEVRA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,68.71,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.93,51.24,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
59,CFFI,C AND F FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,68.67,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.25,50.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
60,PMTS,CPI CARD GROUP INC,NASDAQ+RUSSELL2000,Information Technology,68.61,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.07,50.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
61,FLXS,FLEXSTEEL INDUSTRIES INC,NASDAQ+RUSSELL2000,Consumer Discretionary,68.5,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.73,50.2,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
62,RSI,RUSH STREET INTERACTIVE INC CLASS,RUSSELL2000,Consumer Discretionary,68.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.7,50.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
63,FLO,FLOWERS FOODS INC,RUSSELL2000,Consumer Staples,68.32,82.0,early_transition,61.8,bullish_above_signal_proxy,69.65,49.18,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
64,PTLO,PORTILLO S INC CLASS A,NASDAQ+RUSSELL2000,Consumer Discretionary,68.31,82.0,early_transition,61.8,bullish_above_signal_proxy,70.07,48.26,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
65,KURA,KURA ONCOLOGY INC,NASDAQ+RUSSELL2000,Health Care,68.27,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.58,50.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
66,ANAB,ANAPTYSBIO INC,NASDAQ+RUSSELL2000,Health Care,68.22,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.44,50.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
67,ATEC,ALPHATEC HOLDNGS INC,NASDAQ+RUSSELL2000,Health Care,68.15,82.0,early_transition,61.8,bullish_above_signal_proxy,69.13,49.08,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
68,CLPT,CLEARPOINT NEURO INC,NASDAQ+RUSSELL2000,Health Care,68.09,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.03,50.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
69,SIBN,SI BONE INC,NASDAQ+RUSSELL2000,Health Care,68.03,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.86,50.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
70,PROK,PROKIDNEY CORP CLASS A,NASDAQ+RUSSELL2000,Health Care,68.01,82.0,early_transition,61.8,bullish_above_signal_proxy,68.7,48.99,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
71,IMMX,IMMIX BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,67.99,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.72,50.79,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
72,IOVA,IOVANCE BIOTHERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.98,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,57.25,46.7,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
73,CSTL,CASTLE BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,67.9,82.0,early_transition,61.8,bullish_above_signal_proxy,68.36,48.92,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
74,JILL,J JILL INC,RUSSELL2000,Consumer Discretionary,67.87,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.83,49.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
75,KRRO,KORRO BIO INC,NASDAQ+RUSSELL2000,Health Care,67.85,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.3,50.71,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
76,KRUS,KURA SUSHI USA INC,NASDAQ+RUSSELL2000,Consumer Discretionary,67.81,82.0,early_transition,61.8,bullish_above_signal_proxy,68.56,47.96,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
77,LXRX,LEXICON PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,67.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.84,50.62,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
78,NRDS,NERDWALLET INC CLASS A,NASDAQ+RUSSELL2000,Financials,67.67,82.0,early_transition,61.8,bullish_above_signal_proxy,68.12,47.87,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
79,CASH,PATHWARD FINANCIAL INC,NASDAQ+RUSSELL2000,Financials,67.55,82.0,early_transition,61.8,bullish_above_signal_proxy,67.76,47.8,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
80,KTB,KONTOOR BRANDS INC,RUSSELL2000,Consumer Discretionary,67.5,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.71,49.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
81,KMPR,KEMPER CORP,RUSSELL2000,Financials,67.49,82.0,early_transition,49.8,bullish_below_zero_proxy,76.66,49.58,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
82,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,NASDAQ+RUSSELL2000,Industrials,67.41,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,60.07,46.26,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
83,NATR,NATURES SUNSHINE PRODUCTS INC,NASDAQ+RUSSELL2000,Consumer Staples,67.41,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,59.6,47.17,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
84,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,NASDAQ+RUSSELL2000,Health Care,67.39,82.0,early_transition,49.8,bullish_below_zero_proxy,75.91,50.43,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
85,AVNW,AVIAT NETWORKS INC,NASDAQ+RUSSELL2000,Information Technology,67.36,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.28,49.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
