early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1060,CARE,CARTER BANKSHARES INC,NASDAQ+RUSSELL2000,Financials,48.27,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,76.31,49.51,18.54,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 4.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1061,CVBF,CVB FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,48.26,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,60.46,46.34,13.32,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1062,FFBC,FIRST FINANCIAL BANCORP,NASDAQ+RUSSELL2000,Financials,48.17,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,58.01,45.85,12.6,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1063,RHP,RYMAN HOSPITALITY PROPERTIES REIT,RUSSELL2000,Real Estate,48.17,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,67.2,47.69,15.63,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1064,SMTC,SEMTECH CORP,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,48.13,72.0,confirmed_bullish_trend,25.0,bearish_proxy,45.88,43.43,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1065,XMTR,XOMETRY INC CLASS A,NASDAQ+RUSSELL2000,Industrials,48.12,72.0,confirmed_bullish_trend,25.0,bearish_proxy,45.86,43.42,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1066,FBLA,FB BANCORP INC,NASDAQ+RUSSELL2000,Financials,48.07,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,54.22,45.09,11.45,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1067,TWO,TWO HARBORS INVESTMENT CORP,RUSSELL2000,Financials,48.06,72.0,confirmed_bullish_trend,25.0,bearish_proxy,45.68,43.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1068,OPRT,OPORTUN FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,48.03,72.0,confirmed_bullish_trend,47.55,bullish_below_zero_proxy,61.24,46.5,10.81,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1069,ABUS,ARBUTUS BIOPHARMA CORP,NASDAQ+RUSSELL2000,Health Care,47.97,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.71,45.39,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
1070,SPSC,SPS COMMERCE INC,NASDAQ+RUSSELL2000,Information Technology,47.95,15.0,bearish_transition,71.8,fresh_below_zero_cross_proxy,61.7,46.59,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
1071,LOVE,LOVESAC COMPANY,NASDAQ+RUSSELL2000,Consumer Discretionary,47.93,35.0,mixed_sideways,71.8,fresh_below_zero_cross_proxy,43.46,42.94,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
1072,JYNT,JOINT CORP,NASDAQ+RUSSELL2000,Health Care,47.84,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,46.55,44.56,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
1073,DBRG,DIGITALBRIDGE GROUP INC CLASS A,RUSSELL2000,Financials,47.82,72.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,48.73,44.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
1074,GTY,GETTY REALTY REIT CORP,RUSSELL2000,Real Estate,47.81,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.68,44.39,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
1075,ZVIA,ZEVIA CLASS A,RUSSELL2000,Consumer Staples,47.77,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,16.47,38.54,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
1076,EEX,EMERALD HOLDING INC,RUSSELL2000,Communication,47.66,72.0,confirmed_bullish_trend,25.0,bearish_proxy,44.47,43.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1077,OPAL,OPAL FUELS INC CLASS A,NASDAQ+RUSSELL2000,Energy,47.62,35.0,mixed_sideways,71.8,fresh_below_zero_cross_proxy,42.51,42.75,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
1078,HELE,HELEN OF TROY LTD,NASDAQ+RUSSELL2000,Consumer Discretionary,47.59,72.0,confirmed_bullish_trend,25.0,bearish_proxy,44.24,43.1,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1079,LILA,LIBERTY LATIN AMERICA LTD CLASS A,NASDAQ+RUSSELL2000,Communication,47.56,15.0,bearish_transition,25.0,bearish_proxy,95.97,53.44,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1080,FSS,FEDERAL SIGNAL CORP,RUSSELL2000,Industrials,47.55,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,63.17,46.88,14.92,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1081,LE,LAND END INC,NASDAQ+RUSSELL2000,Consumer Discretionary,47.51,82.0,early_transition,25.0,bearish_proxy,34.91,41.23,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
