early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1728,IE,IVANHOE ELECTRIC INC,RUSSELL2000,Materials,27.3,15.0,bearish_transition,25.0,bearish_proxy,34.59,41.17,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1729,WHD,CACTUS INC CLASS A,RUSSELL2000,Energy,27.3,15.0,bearish_transition,25.0,bearish_proxy,34.57,41.16,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1730,AVNS,AVANOS MEDICAL INC,RUSSELL2000,Health Care,27.25,35.0,mixed_sideways,22.75,bearish_proxy,48.9,45.03,10.36,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bearish_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1731,STAA,STAAR SURGICAL,NASDAQ+RUSSELL2000,Health Care,27.23,18.0,bearish_transition,25.0,bearish_proxy,31.19,41.49,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1732,DC,DAKOTA GOLD CORP,RUSSELL2000,Materials,27.1,18.0,bearish_transition,26.35,bearish_proxy,30.22,40.29,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1733,TLS,TELOS CORPORATION CORP,NASDAQ+RUSSELL2000,Information Technology,27.07,15.0,bearish_transition,25.0,bearish_proxy,33.89,41.03,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1734,FN,FABRINET,RUSSELL2000,Information Technology,27.07,15.0,bearish_transition,25.0,bearish_proxy,33.89,41.03,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1735,BARK,BARK INC CLASS A,RUSSELL2000,Consumer Discretionary,27.06,15.0,bearish_transition,20.0,fresh_bearish_cross_proxy,37.64,41.78,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
1736,CBZ,CBIZ INC,RUSSELL2000,Industrials,26.99,18.0,bearish_transition,26.35,bearish_proxy,29.89,40.23,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1737,LCII,LCI INDUSTRIES,RUSSELL2000,Consumer Discretionary,26.96,18.0,bearish_transition,25.0,bearish_proxy,30.82,40.41,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1738,CODI,COMPASS DIVERSIFIED,RUSSELL2000,Financials,26.93,15.0,bearish_transition,25.0,bearish_proxy,33.46,40.94,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1739,BHR,BRAEMAR HOTELS RESORTS INC,RUSSELL2000,Real Estate,26.88,15.0,bearish_transition,25.0,bearish_proxy,33.32,40.91,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1740,LOVE,LOVESAC COMPANY,NASDAQ+RUSSELL2000,Consumer Discretionary,26.85,18.0,bearish_transition,26.35,bearish_proxy,29.47,40.14,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1741,KLTR,KALTURA INC,NASDAQ+RUSSELL2000,Information Technology,26.84,15.0,bearish_transition,25.0,bearish_proxy,33.19,40.89,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
