universe,date,ticker,name,sector,predicted_rank,score,price,next_date,next_return
SPX,2026-06-22,PCAR,Paccar,Industrials,17,66.33,120.12,,
SPX,2026-06-20,ETN,Eaton Corporation,Industrials,51,63.4,434.7,2026-06-22,0.00248447204968949
SPX,2026-06-22,ETN,Eaton Corporation,Industrials,18,66.32,435.78,,
SPX,2026-06-20,TECH,Bio-Techne,Health Care,102,60.59,56.31,2026-06-22,-0.012431184514295923
SPX,2026-06-22,TECH,Bio-Techne,Health Care,19,66.26,55.61,,
SPX,2026-06-20,SWK,Stanley Black & Decker,Industrials,182,52.43,87.36,2026-06-22,-0.012019230769230727
SPX,2026-06-22,SWK,Stanley Black & Decker,Industrials,20,65.95,86.31,,
SPX,2026-06-20,ECL,Ecolab,Materials,16,66.51,270.03,2026-06-22,-0.002555271636484835
SPX,2026-06-22,ECL,Ecolab,Materials,21,65.81,269.34,,
SPX,2026-06-20,DD,DuPont,Materials,228,45.1,48.07,2026-06-22,0.0024963594757645424
SPX,2026-06-22,DD,DuPont,Materials,22,65.53,48.19,,
SPX,2026-06-22,MRVL,Marvell Technology,Information Technology,23,65.5,307.86,,
SPX,2026-06-20,COF,Capital One,Financials,179,52.47,201.82,2026-06-22,-0.005549499554058146
SPX,2026-06-22,COF,Capital One,Financials,24,65.4,200.7,,
SPX,2026-06-20,ADI,Analog Devices,Information Technology,9,66.97,442.885,2026-06-22,0.005859308849927247
SPX,2026-06-22,ADI,Analog Devices,Information Technology,25,65.37,445.48,,
SPX,2026-06-20,GNRC,Generac,Industrials,162,53.61,292.56,2026-06-22,0.010185944763467347
SPX,2026-06-22,GNRC,Generac,Industrials,26,65.35,295.54,,
SPX,2026-06-20,FIX,Comfort Systems USA,Industrials,71,61.85,2056.94,2026-06-22,0.004652542125682002
SPX,2026-06-22,FIX,Comfort Systems USA,Industrials,27,65.31,2066.51,,
SPX,2026-06-20,BKNG,Booking Holdings,Consumer Discretionary,12,66.8,169.42,2026-06-22,-0.00973910990437954
SPX,2026-06-22,BKNG,Booking Holdings,Consumer Discretionary,28,65.15,167.77,,
SPX,2026-06-20,EMR,Emerson Electric,Industrials,25,65.78,150.49,2026-06-22,-0.0018605887434380852
SPX,2026-06-22,EMR,Emerson Electric,Industrials,29,65.14,150.21,,
SPX,2026-06-20,AMCR,Amcor,Materials,22,65.96,40.93,2026-06-22,-0.006107989249938939
SPX,2026-06-22,AMCR,Amcor,Materials,30,65.09,40.68,,
SPX,2026-06-20,AMGN,Amgen,Health Care,24,65.93,344.46,2026-06-22,0.0007548046217269455
SPX,2026-06-22,AMGN,Amgen,Health Care,31,64.95,344.72,,
SPX,2026-06-20,RTX,RTX Corporation,Industrials,11,66.84,182.65,2026-06-22,-0.004489460717218674
SPX,2026-06-22,RTX,RTX Corporation,Industrials,32,64.81,181.83,,
SPX,2026-06-20,AEE,Ameren,Utilities,288,40.29,109.825,2026-06-22,-0.001138174368313205
SPX,2026-06-22,AEE,Ameren,Utilities,33,64.77,109.7,,
SPX,2026-06-20,HPE,Hewlett Packard Enterprise,Information Technology,174,52.77,48.64,2026-06-22,-0.004934210526315819
SPX,2026-06-22,HPE,Hewlett Packard Enterprise,Information Technology,34,64.75,48.4,,
SPX,2026-06-20,WFC,Wells Fargo,Financials,172,53.07,83.91,2026-06-22,-0.0008342271481348584
SPX,2026-06-22,WFC,Wells Fargo,Financials,35,64.72,83.84,,
SPX,2026-06-20,NVR,"NVR, Inc.",Consumer Discretionary,14,66.58,6402.98,2026-06-22,-0.007876020228081204
SPX,2026-06-22,NVR,"NVR, Inc.",Consumer Discretionary,36,64.69,6352.55,,
SPX,2026-06-20,COO,Cooper Companies (The),Health Care,31,64.76,65.605,2026-06-22,-0.002819907019282142
SPX,2026-06-22,COO,Cooper Companies (The),Health Care,37,64.68,65.42,,
SPX,2026-06-20,ITW,Illinois Tool Works,Industrials,65,62.09,265.13,2026-06-22,0.0006789122317354401
SPX,2026-06-22,ITW,Illinois Tool Works,Industrials,38,64.62,265.31,,
SPX,2026-06-20,VRTX,Vertex Pharmaceuticals,Health Care,68,61.96,465.745,2026-06-22,0.002243717055470329
SPX,2026-06-22,VRTX,Vertex Pharmaceuticals,Health Care,39,64.61,466.79,,
SPX,2026-06-20,CMS,CMS Energy,Utilities,281,40.49,74.19,2026-06-22,-0.005256773150020266
SPX,2026-06-22,CMS,CMS Energy,Utilities,40,64.58,73.8,,
SPX,2026-06-20,HD,Home Depot (The),Consumer Discretionary,17,66.41,327.53,2026-06-22,-0.0027783714468903042
SPX,2026-06-22,HD,Home Depot (The),Consumer Discretionary,41,64.49,326.62,,
SPX,2026-06-20,GWW,W. W. Grainger,Industrials,167,53.25,1348.4778,2026-06-22,-0.005233901514730022
SPX,2026-06-22,GWW,W. W. Grainger,Industrials,42,64.46,1341.42,,
SPX,2026-06-20,BLK,BlackRock,Financials,231,44.61,1053.785,2026-06-22,-0.001940623561732302
SPX,2026-06-22,BLK,BlackRock,Financials,43,64.39,1051.74,,
SPX,2026-06-20,MLM,Martin Marietta Materials,Materials,62,62.43,612.7609,2026-06-22,-0.004701507553761974
SPX,2026-06-22,MLM,Martin Marietta Materials,Materials,44,64.37,609.88,,
SPX,2026-06-20,CRH,CRH plc,Materials,61,62.51,112.06,2026-06-22,-0.007228270569337836
SPX,2026-06-22,CRH,CRH plc,Materials,45,64.35,111.25,,
SPX,2026-06-20,PPG,PPG Industries,Materials,33,64.35,119.545,2026-06-22,-0.005228156761052372
SPX,2026-06-22,PPG,PPG Industries,Materials,46,64.35,118.92,,
SPX,2026-06-20,ZBH,Zimmer Biomet,Health Care,41,63.83,88.02,2026-06-22,-0.010565780504430689
SPX,2026-06-22,ZBH,Zimmer Biomet,Health Care,47,64.14,87.09,,
SPX,2026-06-20,IR,Ingersoll Rand,Industrials,28,64.97,77.68,2026-06-22,0.0024459320288361397
SPX,2026-06-22,IR,Ingersoll Rand,Industrials,48,64.0,77.87,,
SPX,2026-06-20,FCX,Freeport-McMoRan,Materials,27,65.37,69.7,2026-06-22,-0.007030129124820816
SPX,2026-06-22,FCX,Freeport-McMoRan,Materials,49,63.96,69.21,,
SPX,2026-06-20,BX,Blackstone Inc.,Financials,29,64.86,124.11,2026-06-22,-0.006848763193940788
SPX,2026-06-22,BX,Blackstone Inc.,Financials,50,63.82,123.26,,
SPX,2026-06-20,KEYS,Keysight Technologies,Information Technology,96,60.84,371.99,2026-06-22,0.003629129815317489
SPX,2026-06-22,KEYS,Keysight Technologies,Information Technology,51,63.81,373.34,,
SPX,2026-06-20,TPR,"Tapestry, Inc.",Consumer Discretionary,170,53.21,146.12,2026-06-22,0.021078565562551166
SPX,2026-06-22,TPR,"Tapestry, Inc.",Consumer Discretionary,52,63.81,149.2,,
SPX,2026-06-20,CMI,Cummins,Industrials,50,63.42,723.88,2026-06-22,0.0014505166602198916
SPX,2026-06-22,CMI,Cummins,Industrials,53,63.77,724.93,,
SPX,2026-06-20,AJG,Arthur J. Gallagher & Co.,Financials,32,64.51,209.77,2026-06-22,-0.0032893168708585385
SPX,2026-06-22,AJG,Arthur J. Gallagher & Co.,Financials,54,63.7,209.08,,
SPX,2026-06-20,JCI,Johnson Controls,Industrials,72,61.84,147.4,2026-06-22,0.005495251017639147
SPX,2026-06-22,JCI,Johnson Controls,Industrials,55,63.69,148.21,,
SPX,2026-06-20,TEL,TE Connectivity,Information Technology,30,64.86,214.2639,2026-06-22,-0.007345614450217752
SPX,2026-06-22,TEL,TE Connectivity,Information Technology,56,63.59,212.69,,
SPX,2026-06-20,MCHP,Microchip Technology,Information Technology,5,68.42,102.245,2026-06-22,0.0045478996527945625
SPX,2026-06-22,MCHP,Microchip Technology,Information Technology,57,63.58,102.71,,
SPX,2026-06-20,SPG,Simon Property Group,Real Estate,189,52.28,214.345,2026-06-22,0.001049709580349445
SPX,2026-06-22,SPG,Simon Property Group,Real Estate,58,63.55,214.57,,
SPX,2026-06-20,PNC,PNC Financial Services,Financials,36,64.14,234.075,2026-06-22,0.002712805724661038
SPX,2026-06-22,PNC,PNC Financial Services,Financials,59,63.54,234.71,,
SPX,2026-06-20,DASH,DoorDash,Consumer Discretionary,90,60.92,176.505,2026-06-22,-0.025070111328290845
SPX,2026-06-22,DASH,DoorDash,Consumer Discretionary,60,63.53,172.08,,
SPX,2026-06-20,DRI,Darden Restaurants,Consumer Discretionary,45,63.63,214.18,2026-06-22,-0.010178354654963195
SPX,2026-06-22,DRI,Darden Restaurants,Consumer Discretionary,61,63.42,212.0,,
SPX,2026-06-20,PEG,Public Service Enterprise Group,Utilities,99,60.72,80.745,2026-06-22,-0.0016719301504737327
SPX,2026-06-22,PEG,Public Service Enterprise Group,Utilities,62,63.41,80.61,,
SPX,2026-06-20,ROST,Ross Stores,Consumer Discretionary,175,52.75,236.8,2026-06-22,0.0007179054054053946
SPX,2026-06-22,ROST,Ross Stores,Consumer Discretionary,63,63.38,236.97,,
SPX,2026-06-20,TT,Trane Technologies,Industrials,94,60.88,490.23,2026-06-22,0.0027742080248045475
SPX,2026-06-22,TT,Trane Technologies,Industrials,64,63.3,491.59,,
SPX,2026-06-20,NDSN,Nordson Corporation,Industrials,126,59.14,295.05,2026-06-22,3.389256058294876e-05
SPX,2026-06-22,NDSN,Nordson Corporation,Industrials,65,63.28,295.06,,
SPX,2026-06-20,CARR,Carrier Global,Industrials,63,62.4,72.14,2026-06-22,-0.004019961186581766
SPX,2026-06-22,CARR,Carrier Global,Industrials,66,63.27,71.85,,
SPX,2026-06-20,TDG,TransDigm Group,Industrials,183,52.43,1285.31,2026-06-22,0.008239257455399995
SPX,2026-06-22,TDG,TransDigm Group,Industrials,67,63.23,1295.9,,
SPX,2026-06-20,FITB,Fifth Third Bancorp,Financials,37,64.12,53.795,2026-06-22,-0.003438981317966383
SPX,2026-06-22,FITB,Fifth Third Bancorp,Financials,68,63.13,53.61,,
SPX,2026-06-20,ES,Eversource Energy,Utilities,44,63.66,70.165,2026-06-22,-0.0006413454001282792
SPX,2026-06-22,ES,Eversource Energy,Utilities,69,63.09,70.12,,
SPX,2026-06-20,SNA,Snap-on,Industrials,134,58.08,391.19,2026-06-22,-0.001252588256345999
SPX,2026-06-22,SNA,Snap-on,Industrials,70,63.02,390.7,,
SPX,2026-06-20,IEX,IDEX Corporation,Industrials,127,59.05,223.79,2026-06-22,0.007015505607936179
SPX,2026-06-22,IEX,IDEX Corporation,Industrials,71,62.88,225.36,,
SPX,2026-06-20,MTB,M&T Bank,Financials,181,52.44,227.97,2026-06-22,-0.0010527701013292035
SPX,2026-06-22,MTB,M&T Bank,Financials,72,62.77,227.73,,
SPX,2026-06-20,DHI,D. R. Horton,Consumer Discretionary,42,63.81,156.548,2026-06-22,-0.0038837928303140368
SPX,2026-06-22,DHI,D. R. Horton,Consumer Discretionary,73,62.74,155.94,,
SPX,2026-06-20,EXPE,Expedia Group,Consumer Discretionary,43,63.75,238.41,2026-06-22,-0.0016358374229268335
SPX,2026-06-22,EXPE,Expedia Group,Consumer Discretionary,74,62.72,238.02,,
SPX,2026-06-20,TRV,Travelers Companies (The),Financials,137,57.81,311.84,2026-06-22,-0.003944330425859288
SPX,2026-06-22,TRV,Travelers Companies (The),Financials,75,62.71,310.61,,
SPX,2026-06-20,MCO,Moody's Corporation,Financials,40,63.86,447.335,2026-06-22,-1.117730559874186e-05
SPX,2026-06-22,MCO,Moody's Corporation,Financials,76,62.61,447.33,,
SPX,2026-06-20,EQIX,Equinix,Real Estate,73,61.78,1113.865,2026-06-22,0.0018628828448690182
SPX,2026-06-22,EQIX,Equinix,Real Estate,77,62.56,1115.94,,
SPX,2026-06-20,USB,U.S. Bancorp,Financials,56,63.1,58.645,2026-06-22,0.0005968113223633331
SPX,2026-06-22,USB,U.S. Bancorp,Financials,78,62.54,58.68,,
SPX,2026-06-20,MAS,Masco,Industrials,47,63.55,73.94,2026-06-22,-0.004868812550716806
SPX,2026-06-22,MAS,Masco,Industrials,79,62.52,73.58,,
SPX,2026-06-20,MMM,3M,Industrials,67,62.02,163.06,2026-06-22,0.0009812339016312954
SPX,2026-06-22,MMM,3M,Industrials,80,62.45,163.22,,
SPX,2026-06-20,TTWO,Take-Two Interactive,Communication Services,218,47.91,238.83,2026-06-22,0.003098438219654165
SPX,2026-06-22,TTWO,Take-Two Interactive,Communication Services,81,62.42,239.57,,
SPX,2026-06-20,NTRS,Northern Trust,Financials,202,50.65,174.015,2026-06-22,0.008878544953021317
SPX,2026-06-22,NTRS,Northern Trust,Financials,82,62.39,175.56,,
SPX,2026-06-20,PHM,PulteGroup,Consumer Discretionary,59,62.74,125.67,2026-06-22,-0.0003978674305721297
SPX,2026-06-22,PHM,PulteGroup,Consumer Discretionary,83,62.36,125.62,,
SPX,2026-06-20,WAB,Wabtec,Industrials,78,61.53,276.27,2026-06-22,0.0017374307742425987
SPX,2026-06-22,WAB,Wabtec,Industrials,84,62.36,276.75,,
SPX,2026-06-20,PKG,Packaging Corporation of America,Materials,55,63.17,234.475,2026-06-22,-0.0018978569143831558
SPX,2026-06-22,PKG,Packaging Corporation of America,Materials,85,62.27,234.03,,
SPX,2026-06-20,HWM,Howmet Aerospace,Industrials,38,64.05,278.205,2026-06-22,0.007746086518934048
SPX,2026-06-22,HWM,Howmet Aerospace,Industrials,86,62.19,280.36,,
SPX,2026-06-20,DG,Dollar General,Consumer Staples,97,60.82,114.06,2026-06-22,-0.014027704716815803
SPX,2026-06-22,DG,Dollar General,Consumer Staples,87,62.02,112.46,,
SPX,2026-06-20,BLDR,Builders FirstSource,Industrials,58,62.96,78.78,2026-06-22,-0.01840568672251841
SPX,2026-06-22,BLDR,Builders FirstSource,Industrials,88,61.99,77.33,,
SPX,2026-06-20,HBAN,Huntington Bancshares,Financials,184,52.42,17.06,2026-06-22,-0.0005861664712777381
SPX,2026-06-22,HBAN,Huntington Bancshares,Financials,89,61.95,17.05,,
SPX,2026-06-20,PGR,Progressive Corporation,Financials,121,59.42,208.54,2026-06-22,-0.005562482017838266
SPX,2026-06-22,PGR,Progressive Corporation,Financials,90,61.8,207.38,,
SPX,2026-06-20,RJF,Raymond James Financial,Financials,101,60.6,157.05,2026-06-22,-0.002546959567016893
SPX,2026-06-22,RJF,Raymond James Financial,Financials,91,61.8,156.65,,
SPX,2026-06-20,LYV,Live Nation Entertainment,Communication Services,141,57.02,171.195,2026-06-22,-0.003709220479570008
SPX,2026-06-22,LYV,Live Nation Entertainment,Communication Services,92,61.52,170.56,,
SPX,2026-06-20,CINF,Cincinnati Financial,Financials,135,58.0,172.72,2026-06-22,-0.0015053265400647442
SPX,2026-06-22,CINF,Cincinnati Financial,Financials,93,61.5,172.46,,
SPX,2026-06-20,HON,Honeywell,Industrials,21,66.02,229.21,2026-06-22,-0.004799092535229699
SPX,2026-06-22,HON,Honeywell,Industrials,94,61.43,228.11,,
SPX,2026-06-20,AMP,Ameriprise Financial,Financials,124,59.32,470.67,2026-06-22,0.001572226825589107
SPX,2026-06-22,AMP,Ameriprise Financial,Financials,95,61.35,471.41,,
SPX,2026-06-20,LII,Lennox International,Industrials,110,60.25,536.22,2026-06-22,-0.00033568311513942906
SPX,2026-06-22,LII,Lennox International,Industrials,96,61.33,536.04,,
SPX,2026-06-20,KEY,KeyCorp,Financials,60,62.66,22.845,2026-06-22,-0.0006565988181221893
SPX,2026-06-22,KEY,KeyCorp,Financials,97,61.29,22.83,,
SPX,2026-06-20,CNP,CenterPoint Energy,Utilities,89,60.93,43.355,2026-06-22,-0.005420366739707028
SPX,2026-06-22,CNP,CenterPoint Energy,Utilities,98,61.27,43.12,,
SPX,2026-06-20,EIX,Edison International,Utilities,105,60.54,72.08,2026-06-22,0.0016648168701443034
SPX,2026-06-22,EIX,Edison International,Utilities,99,61.27,72.2,,
SPX,2026-06-20,IVZ,Invesco,Financials,206,49.87,28.66,2026-06-22,0.004187020237264472
SPX,2026-06-22,IVZ,Invesco,Financials,100,61.26,28.78,,
SPX,2026-06-20,STX,Seagate Technology,Information Technology,112,60.0,1096.6275,2026-06-22,-0.0023595067604998965
SPX,2026-06-22,STX,Seagate Technology,Information Technology,101,61.22,1094.04,,
SPX,2026-06-20,D,Dominion Energy,Utilities,111,60.11,68.735,2026-06-22,-0.010111297010256703
SPX,2026-06-22,D,Dominion Energy,Utilities,102,61.21,68.04,,
SPX,2026-06-20,DE,Deere & Company,Industrials,81,61.43,600.885,2026-06-22,-0.003819366434509086
SPX,2026-06-22,DE,Deere & Company,Industrials,103,61.17,598.59,,
SPX,2026-06-20,DTE,DTE Energy,Utilities,91,60.91,147.34,2026-06-22,-0.00346138183792577
SPX,2026-06-22,DTE,DTE Energy,Utilities,104,61.17,146.83,,
SPX,2026-06-20,PSA,Public Storage,Real Estate,66,62.07,320.245,2026-06-22,-7.806523130715615e-05
SPX,2026-06-22,PSA,Public Storage,Real Estate,105,61.0,320.22,,
SPX,2026-06-20,RF,Regions Financial Corporation,Financials,193,51.38,28.855,2026-06-22,-0.0036388840755501306
SPX,2026-06-22,RF,Regions Financial Corporation,Financials,106,60.99,28.75,,
SPX,2026-06-20,ALL,Allstate,Financials,146,56.24,223.37,2026-06-22,-0.0036262703138291164
SPX,2026-06-22,ALL,Allstate,Financials,107,60.94,222.56,,
SPX,2026-06-20,BALL,Ball Corporation,Materials,86,61.23,58.07,2026-06-22,0.0022386774582401348
SPX,2026-06-22,BALL,Ball Corporation,Materials,108,60.93,58.2,,
SPX,2026-06-20,APO,Apollo Global Management,Financials,108,60.34,136.15,2026-06-22,-0.00690414983474108
SPX,2026-06-22,APO,Apollo Global Management,Financials,109,60.82,135.21,,
SPX,2026-06-20,SYF,Synchrony Financial,Financials,92,60.9,75.72,2026-06-22,-0.00013206550449029741
SPX,2026-06-22,SYF,Synchrony Financial,Financials,110,60.81,75.71,,
SPX,2026-06-20,LNT,Alliant Energy,Utilities,107,60.46,73.6,2026-06-22,-0.005298913043478293
SPX,2026-06-22,LNT,Alliant Energy,Utilities,111,60.72,73.21,,
SPX,2026-06-20,PRU,Prudential Financial,Financials,82,61.34,108.0901,2026-06-22,0.0015718368287196416
SPX,2026-06-22,PRU,Prudential Financial,Financials,112,60.72,108.26,,
SPX,2026-06-20,L,Loews Corporation,Financials,115,59.83,108.35,2026-06-22,-0.0020304568527919065
SPX,2026-06-22,L,Loews Corporation,Financials,113,60.7,108.13,,
SPX,2026-06-20,FTV,Fortive,Industrials,93,60.88,61.965,2026-06-22,-0.00476075203744053
SPX,2026-06-22,FTV,Fortive,Industrials,114,60.59,61.67,,
SPX,2026-06-20,HOOD,Robinhood Markets,Financials,136,57.94,106.64,2026-06-22,-0.008720930232558155
SPX,2026-06-22,HOOD,Robinhood Markets,Financials,115,60.54,105.71,,
SPX,2026-06-20,XYZ,"Block, Inc.",Financials,79,61.52,73.655,2026-06-22,-0.007942434322177783
SPX,2026-06-22,XYZ,"Block, Inc.",Financials,116,60.52,73.07,,
SPX,2026-06-20,SHW,Sherwin-Williams,Materials,70,61.93,319.08,2026-06-22,-0.006832142409427089
SPX,2026-06-22,SHW,Sherwin-Williams,Materials,117,60.51,316.9,,
SPX,2026-06-20,BBY,Best Buy,Consumer Discretionary,207,49.61,77.155,2026-06-22,-0.014840256626271753
SPX,2026-06-22,BBY,Best Buy,Consumer Discretionary,118,60.44,76.01,,
SPX,2026-06-20,WEC,WEC Energy Group,Utilities,87,61.22,113.34,2026-06-22,-0.0026469031233457008
SPX,2026-06-22,WEC,WEC Energy Group,Utilities,119,60.39,113.04,,
SPX,2026-06-20,ABNB,Airbnb,Consumer Discretionary,133,58.45,139.2,2026-06-22,-7.183908045971243e-05
SPX,2026-06-22,ABNB,Airbnb,Consumer Discretionary,120,60.34,139.19,,
SPX,2026-06-20,SCHW,Charles Schwab Corporation,Financials,100,60.65,92.32,2026-06-22,-0.0031412478336221294
SPX,2026-06-22,SCHW,Charles Schwab Corporation,Financials,121,60.32,92.03,,
SPX,2026-06-20,LIN,Linde plc,Materials,212,49.1,515.1,2026-06-22,0.0031256066783149627
SPX,2026-06-22,LIN,Linde plc,Materials,122,60.29,516.71,,
SPX,2026-06-20,SO,Southern Company,Utilities,142,56.92,93.88,2026-06-22,-0.004793353216872465
SPX,2026-06-22,SO,Southern Company,Utilities,123,60.27,93.43,,
SPX,2026-06-20,EVRG,Evergy,Utilities,211,49.37,83.65,2026-06-22,-0.004781829049611552
SPX,2026-06-22,EVRG,Evergy,Utilities,124,60.21,83.25,,
SPX,2026-06-20,MDT,Medtronic,Health Care,109,60.31,79.485,2026-06-22,-0.0027049128766434283
SPX,2026-06-22,MDT,Medtronic,Health Care,125,60.2,79.27,,
SPX,2026-06-20,KKR,KKR & Co.,Financials,114,59.84,97.095,2026-06-22,-0.002008342345125813
SPX,2026-06-22,KKR,KKR & Co.,Financials,126,60.19,96.9,,
SPX,2026-06-20,BRO,Brown & Brown,Financials,123,59.33,58.775,2026-06-22,-0.00910250957039549
SPX,2026-06-22,BRO,Brown & Brown,Financials,127,60.17,58.24,,
SPX,2026-06-20,VRT,Vertiv,Industrials,225,46.79,353.7399,2026-06-22,0.011929951922302173
SPX,2026-06-22,VRT,Vertiv,Industrials,128,60.17,357.96,,
SPX,2026-06-22,FLEX,Flex Ltd.,Information Technology,129,60.07,155.81,,
SPX,2026-06-20,V,Visa Inc.,Financials,125,59.15,329.295,2026-06-22,-0.008184150989234529
SPX,2026-06-22,V,Visa Inc.,Financials,130,60.07,326.6,,
SPX,2026-06-20,WDC,Western Digital,Information Technology,138,57.61,736.91,2026-06-22,-0.0058216064376924725
SPX,2026-06-22,WDC,Western Digital,Information Technology,131,60.04,732.62,,
SPX,2026-06-20,EXC,Exelon,Utilities,83,61.31,46.055,2026-06-22,-0.002497014439257428
SPX,2026-06-22,EXC,Exelon,Utilities,132,60.02,45.94,,
SPX,2026-06-20,FE,FirstEnergy,Utilities,77,61.54,46.905,2026-06-22,-0.0030913548662190315
SPX,2026-06-22,FE,FirstEnergy,Utilities,133,59.95,46.76,,
SPX,2026-06-20,TER,Teradyne,Information Technology,20,66.04,450.6,2026-06-22,0.01420328450954278
SPX,2026-06-22,TER,Teradyne,Information Technology,134,59.81,457.0,,
SPX,2026-06-20,MU,Micron Technology,Information Technology,3,70.52,1197.8,2026-06-22,0.011337451995324876
SPX,2026-06-22,MU,Micron Technology,Information Technology,135,59.76,1211.38,,
SPX,2026-06-20,KLAC,KLA Corporation,Information Technology,130,58.95,267.8,2026-06-22,0.005078416728902191
SPX,2026-06-22,KLAC,KLA Corporation,Information Technology,136,59.74,269.16,,
SPX,2026-06-20,AIZ,Assurant,Financials,117,59.74,262.57,2026-06-22,-0.003770423125261879
SPX,2026-06-22,AIZ,Assurant,Financials,137,59.68,261.58,,
SPX,2026-06-20,LRCX,Lam Research,Information Technology,116,59.78,397.615,2026-06-22,0.02999132326496734
SPX,2026-06-22,LRCX,Lam Research,Information Technology,138,59.5,409.54,,
SPX,2026-06-20,YUM,Yum! Brands,Consumer Discretionary,106,60.49,150.1,2026-06-22,0.004263824117255233
SPX,2026-06-22,YUM,Yum! Brands,Consumer Discretionary,139,59.26,150.74,,
SPX,2026-06-20,DLTR,Dollar Tree,Consumer Staples,148,56.0,115.075,2026-06-22,-0.00995003258744298
SPX,2026-06-22,DLTR,Dollar Tree,Consumer Staples,140,59.11,113.93,,
SPX,2026-06-20,SNDK,Sandisk,Information Technology,120,59.56,2313.1,2026-06-22,-0.01702044874843278
SPX,2026-06-22,SNDK,Sandisk,Information Technology,141,58.79,2273.73,,
SPX,2026-06-20,APH,Amphenol,Information Technology,119,59.57,165.88,2026-06-22,0.0004822763443452782
SPX,2026-06-22,APH,Amphenol,Information Technology,142,58.74,165.96,,
SPX,2026-06-20,TXN,Texas Instruments,Information Technology,192,51.46,329.87,2026-06-22,0.007305908388152815
SPX,2026-06-22,TXN,Texas Instruments,Information Technology,143,58.61,332.28,,
SPX,2026-06-20,BA,Boeing,Industrials,104,60.55,221.1101,2026-06-22,-0.0012667897124553074
SPX,2026-06-22,BA,Boeing,Industrials,144,58.22,220.83,,
SPX,2026-06-20,RL,Ralph Lauren Corporation,Consumer Discretionary,139,57.3,411.41,2026-06-22,-0.001191025983811822
SPX,2026-06-22,RL,Ralph Lauren Corporation,Consumer Discretionary,145,57.84,410.92,,
SPX,2026-06-20,AMAT,Applied Materials,Information Technology,113,59.96,626.57,2026-06-22,0.021721435753387253
