rank,ticker,name,sector,aster_call_score,call_bias,source_strategy,source_universe,confirmation_layer,confirmation_hit,confirmation_score,call_note,latest_price,return_1m,return_1w,return_3_blocks,rsi14,volume_ratio,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state
11,AKAM,Akamai Technologies,Information Technology,78.21,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,123.129997,-0.03669225,-0.01590478,0.01810811,52.15,1.09,95.5,58.49,62.2,80.0,100.0,100.0,early_transition,fresh_above_zero_cross
12,FISV,Fiserv,Financials,77.66,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,51.68,0.05966783,0.00967078,0.01392974,54.49,0.64,95.5,66.13,88.8,80.0,30.0,100.0,early_transition,fresh_above_zero_cross
13,TRMB,Trimble Inc.,Information Technology,77.53,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,53.209999,0.08880704,0.01778883,-0.01105847,56.04,1.41,87.7,66.57,83.8,80.0,100.0,100.0,early_transition,bullish_above_signal
14,BG,Bunge Global,Consumer Staples,77.29,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,120.650002,0.03883247,0.02777070,0.01754240,68.3,1.07,79.7,72.47,100.0,63.36,100.0,100.0,early_transition,bullish_above_signal
15,RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,76.97,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,127.860001,0.04298887,0.02789615,0.01641562,58.53,0.73,92.8,54.87,100.0,81.74,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross
16,GENI,GENIUS SPORTS LTD,Consumer Discretionary,76.46,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,6.755,0.08951613,0.02039275,0.09748172,61.05,1.67,98.2,55.62,78.4,81.74,100.0,45.0,fresh_bullish_cross,fresh_above_zero_cross
17,MAT,"Mattel, Inc. - Common Stock",,76.32,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,14.14,0.03400366,0.02337700,-0.01839639,54.85,1.75,87.7,72.38,83.8,81.36,100.0,72.0,early_transition,bullish_above_signal
18,LH,Labcorp,Health Care,76.25,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,281.531006,0.08443828,0.01742263,-0.00260042,57.49,1.11,82.9,55.54,100.0,81.36,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross
19,CTVA,Corteva,Materials,75.78,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,86.790001,0.12146275,0.00824813,-0.00378790,60.55,1.07,82.9,62.78,88.8,81.36,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross
20,SBRA,SABRA HEALTH CARE REIT INC,Real Estate,75.75,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,20.0,0.10772639,0.01240197,-0.00447984,56.16,1.18,73.0,77.25,88.8,81.74,100.0,100.0,mixed_sideways,fresh_above_zero_cross
21,ROP,Roper Technologies,Information Technology,75.69,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,362.839996,0.09944854,0.00612814,0.00512481,58.13,1.22,82.9,62.23,88.8,81.36,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross
22,MSFT,Microsoft,Information Technology,75.61,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,402.290009,0.06181544,0.02892730,0.01933311,60.38,0.7,87.7,74.45,100.0,81.36,30.0,100.0,early_transition,bullish_above_signal
23,TYL,Tyler Technologies,Information Technology,75.55,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,317.920013,0.10457927,0.01183960,0.00078698,57.55,1.03,82.9,77.34,88.8,81.36,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross
24,EG,Everest Group,Financials,75.19,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,379.089996,0.12293018,0.00344103,-0.00198767,62.45,1.24,82.9,59.97,88.8,80.0,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross
25,PRGO,PERRIGO PLC,Health Care,74.83,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,10.58,0.04185130,0.03929273,-0.00376648,51.54,0.92,87.7,72.38,100.0,68.54,68.0,72.0,early_transition,bullish_above_signal
26,HIG,Hartford (The),Financials,74.64,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,140.5,0.08377045,-0.00213070,0.00328483,61.88,1.41,82.9,62.72,81.1,81.36,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross
27,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,74.61,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,50.439999,0.09343156,0.03212605,0.01366562,59.54,2.11,75.1,77.07,100.0,81.74,100.0,100.0,confirmed_bullish_trend,bullish_above_signal
28,TRST,TRUSTCO BANK CORP,Financials,74.61,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,55.439999,0.07275540,0.01297276,0.01874313,56.56,1.37,82.9,55.46,88.8,81.74,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross
29,PENN,PENN ENTERTAINMENT INC,Consumer Discretionary,74.41,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,21.23,0.00047130,0.03662109,0.02470786,53.92,0.82,90.4,53.95,88.8,81.74,68.0,100.0,fresh_bullish_cross,bullish_above_signal
30,SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",,74.39,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,69.510002,0.04731051,0.02040515,-0.00143656,61.0,1.98,75.1,75.94,100.0,81.36,100.0,100.0,confirmed_bullish_trend,bullish_above_signal
31,SPOK,SPOK HOLDINGS INC,Communication,74.39,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,10.65,0.03247698,0.00947867,0.01022557,54.37,0.97,87.7,71.86,88.8,81.74,68.0,72.0,early_transition,bullish_above_signal
32,SDRL,SEADRILL LTD,Energy,74.39,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,42.456001,0.05638224,0.00416277,-0.01402694,56.5,0.75,87.7,72.43,72.6,81.74,68.0,100.0,early_transition,bullish_above_signal
33,MDT,Medtronic,Health Care,74.35,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,83.330002,0.06621461,-0.00299115,0.00615796,55.22,0.79,82.9,76.98,81.1,81.36,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross
34,CMCSA,Comcast,Communication Services,74.28,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,23.780001,0.04803878,-0.00834024,0.00021035,52.11,1.47,87.7,49.17,81.1,80.0,100.0,100.0,early_transition,bullish_above_signal
35,SAM,BOSTON BEER INC CLASS A,Consumer Staples,74.21,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,180.669998,0.05156859,0.04830426,0.00283078,54.73,1.0,90.4,43.72,100.0,80.0,68.0,100.0,fresh_bullish_cross,bullish_above_signal
36,DPZ,Domino's,Consumer Discretionary,74.2,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,328.970001,0.04677511,0.06146743,0.02132876,65.2,1.58,75.1,74.74,100.0,81.36,100.0,100.0,confirmed_bullish_trend,bullish_above_signal
37,ARDT,ARDENT HEALTH INC,Health Care,74.14,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,10.46,0.15071507,0.03769841,0.03461919,59.44,1.07,82.9,56.44,100.0,81.74,100.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross
38,GPN,Global Payments,Financials,74.12,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,82.370003,0.24088591,0.07224685,0.04570276,67.49,1.44,73.0,74.64,81.8,80.0,100.0,100.0,mixed_sideways,fresh_above_zero_cross
39,ORKA,ORUKA THERAPEUTICS INC,Health Care,73.98,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,91.709999,0.29369446,0.08583945,0.00158354,58.74,1.21,82.9,60.19,80.4,80.0,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross
40,OXY,Occidental Petroleum,Energy,73.89,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,55.205002,0.04072022,0.00702302,0.01219290,62.69,0.49,87.7,74.02,88.8,81.36,30.0,100.0,early_transition,bullish_above_signal
41,EL,Estée Lauder Companies (The),Consumer Staples,73.56,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,83.639999,0.01443301,0.03068388,0.01222319,55.7,0.86,90.4,49.77,88.8,80.0,68.0,100.0,fresh_bullish_cross,bullish_above_signal
42,EIG,EMPLOYERS HOLDINGS INC,Financials,73.44,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,50.32,0.08378204,-0.01814634,0.01084775,52.9,1.12,79.6,55.16,81.1,81.74,100.0,100.0,fresh_bullish_cross,mixed_or_bearish
43,PODD,Insulet Corporation,Health Care,73.4,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,167.369995,0.16626020,0.03231968,0.02674683,62.38,1.48,75.1,78.69,90.2,81.36,100.0,100.0,confirmed_bullish_trend,bullish_above_signal
44,PNRG,PRIMEENERGY RESOURCES CORP,Energy,73.38,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,187.240005,0.05338962,0.02749278,0.01416387,59.61,0.95,87.7,42.64,100.0,80.0,68.0,100.0,early_transition,bullish_above_signal
45,SJM,J.M. Smucker Company (The),Consumer Staples,73.32,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,112.519997,-0.00393926,0.01791203,0.00204823,52.76,0.86,90.4,54.46,81.1,81.36,68.0,100.0,fresh_bullish_cross,bullish_above_signal
46,AORT,ARTIVION INC,Health Care,73.32,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,25.35,0.19575466,0.05537052,0.01359456,62.1,1.06,75.1,78.0,90.2,81.74,100.0,100.0,confirmed_bullish_trend,bullish_above_signal
47,PLUS,EPLUS,Information Technology,73.29,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,90.400002,0.12486784,0.00477938,0.02401453,65.08,0.99,82.9,63.41,88.8,81.74,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross
48,Z,"Zillow Group, Inc. - Class C Capital Stock",,73.28,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,33.029999,0.03283299,0.02641389,-0.01314616,50.66,1.37,87.7,48.54,83.8,66.8,100.0,100.0,early_transition,bullish_above_signal
49,KMI,Kinder Morgan,Energy,73.22,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,32.595001,0.04054270,0.01069771,0.01242432,55.12,1.1,73.0,62.02,88.8,81.36,100.0,100.0,mixed_sideways,fresh_above_zero_cross
50,TXNM,TXNM ENERGY INC,Utilities,73.12,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,57.82,0.02390648,0.01278683,0.00329688,63.08,1.23,87.7,44.21,77.6,81.74,100.0,100.0,early_transition,bullish_above_signal
