early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,MQ,MARQETA INC CLASS A,NASDAQ+RUSSELL2000,Financials,84.94,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
12,GRND,GRINDR INC,RUSSELL2000,Communication,72.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,93.07,52.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,REAX,REAL BROKERAGE INC,NASDAQ+RUSSELL2000,Real Estate,72.54,82.0,early_transition,61.8,bullish_above_signal_proxy,82.87,50.82,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
14,PBYI,PUMA BIOTECHNOLOGY INC,NASDAQ+RUSSELL2000,Health Care,72.03,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,69.52,49.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
15,FHTX,FOGHORN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,71.87,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.49,53.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
16,TYRA,TYRA BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,71.81,82.0,early_transition,61.8,bullish_above_signal_proxy,80.21,51.29,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
17,BVS,BIOVENTUS CLASS A INC,NASDAQ+RUSSELL2000,Health Care,71.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,88.84,53.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,DMAC,DIAMEDICA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,71.53,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,88.47,52.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,SNDX,SYNDAX PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,71.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,88.34,52.92,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,DYN,DYNE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,71.43,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,88.17,52.88,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,IMRX,IMMUNEERING CORP CLASS A,NASDAQ+RUSSELL2000,Health Care,71.05,82.0,early_transition,61.8,bullish_above_signal_proxy,77.92,50.83,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,COUR,COURSERA INC,RUSSELL2000,Consumer Discretionary,70.69,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,56.82,45.61,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
23,DNTH,DIANTHUS THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,70.58,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.58,52.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,NGNE,NEUROGENE INC,NASDAQ+RUSSELL2000,Health Care,70.47,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.27,52.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,NAVI,NAVIENT CORP,NASDAQ+RUSSELL2000,Financials,70.39,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,55.92,45.43,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
26,PLTK,PLAYTIKA HOLDING CORP,NASDAQ+RUSSELL2000,Communication,70.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.87,51.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
27,ELMD,ELECTROMED INC,RUSSELL2000,Health Care,70.13,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.23,52.1,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
28,PVLA,PALVELLA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,70.07,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.03,52.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
29,SRPT,SAREPTA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,69.69,82.0,early_transition,61.8,bullish_above_signal_proxy,73.81,50.01,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
30,DFIN,DONNELLEY FINANCIAL SOLUTIONS INC,RUSSELL2000,Financials,69.37,82.0,early_transition,61.8,bullish_above_signal_proxy,73.29,48.91,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,IMMX,IMMIX BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,69.1,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.1,51.47,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,OFIX,ORTHOFIX MEDICAL INC,NASDAQ+RUSSELL2000,Health Care,68.82,82.0,early_transition,61.8,bullish_above_signal_proxy,71.15,49.48,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,ANRO,ALTO NEUROSCIENCE INC,RUSSELL2000,Health Care,68.79,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.17,51.28,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,CTMX,CYTOMX THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,68.73,82.0,early_transition,61.8,bullish_above_signal_proxy,70.9,49.43,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
35,ASMB,ASSEMBLY BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,68.7,82.0,early_transition,61.8,bullish_above_signal_proxy,70.78,49.41,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,EVER,EVERQUOTE INC CLASS A,NASDAQ+RUSSELL2000,Communication,68.36,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.31,50.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
37,IMNM,IMMUNOME INC,NASDAQ+RUSSELL2000,Health Care,68.36,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.85,51.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
38,TDOC,TELADOC HEALTH INC,RUSSELL2000,Health Care,68.35,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.82,51.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
39,KMPR,KEMPER CORP,RUSSELL2000,Financials,68.29,82.0,early_transition,61.8,bullish_above_signal_proxy,70.0,48.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
40,DSGR,DISTRIBUTION SOLUTIONS GROUP INC,NASDAQ+RUSSELL2000,Industrials,68.26,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,45.98,43.45,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
41,ACRS,ACLARIS THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,68.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.51,50.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
42,NEWT,NEWTEKONE INC,NASDAQ+RUSSELL2000,Financials,68.21,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.4,45.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
43,CGON,CG ONCOLOGY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.16,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.26,50.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,PACS,PACS GROUP INC,RUSSELL2000,Health Care,68.07,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.98,50.85,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,LOB,LIVE OAK BANCSHARES INC,RUSSELL2000,Financials,67.91,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,57.48,45.75,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
46,INSP,INSPIRE MEDICAL SYSTEMS INC,RUSSELL2000,Health Care,67.59,82.0,early_transition,61.8,bullish_above_signal_proxy,67.43,48.74,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
47,VERA,VERA THERAPEUTICS INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,67.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.42,50.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
48,JCAP,JEFFERSON CAPITAL INC,NASDAQ+RUSSELL2000,Financials,67.47,82.0,early_transition,61.8,bullish_above_signal_proxy,67.54,47.76,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
49,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,NASDAQ+RUSSELL2000,Health Care,67.12,82.0,early_transition,61.8,bullish_above_signal_proxy,66.02,48.45,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
50,GALT,GALECTIN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.0,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,100.0,55.25,14.52,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 3.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
51,SYRE,SPYRE THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,66.99,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,74.7,50.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,NAT,NORDIC AMERICAN TANKERS LTD,RUSSELL2000,Energy,66.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.09,49.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,EVCM,EVERCOMMERCE INC,NASDAQ+RUSSELL2000,Information Technology,66.93,82.0,early_transition,61.8,bullish_above_signal_proxy,65.88,47.43,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
54,GKOS,GLAUKOS CORP,RUSSELL2000,Health Care,66.87,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,74.33,50.12,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
55,ONEW,ONEWATER MARINE CLASS A INC,NASDAQ+RUSSELL2000,Consumer Discretionary,66.79,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,54.11,45.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
56,BLND,BLEND LABS INC CLASS A,RUSSELL2000,Information Technology,66.77,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,54.05,45.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
57,ZNTL,ZENTALIS PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,66.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.64,49.98,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
58,OMCL,OMNICELL INC,NASDAQ+RUSSELL2000,Health Care,66.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.61,49.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
59,RELY,REMITLY GLOBAL INC,NASDAQ+RUSSELL2000,Financials,66.6,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.98,49.05,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
60,ABX,ABACUS GLOBAL MANAGEMENT INC CLASS,RUSSELL2000,Financials,66.55,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.82,49.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
61,PNTG,PENNANT GROUP INC,NASDAQ+RUSSELL2000,Health Care,66.51,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.26,49.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
62,AVO,MISSION PRODUCE INC,NASDAQ+RUSSELL2000,Consumer Staples,66.48,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.17,49.88,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
63,CBU,COMMUNITY FINANCIAL SYSTEM INC,RUSSELL2000,Financials,66.35,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,52.76,44.8,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
64,ALTI,ALTI GLOBAL INC CLASS A,NASDAQ+RUSSELL2000,Financials,66.32,82.0,early_transition,61.8,bullish_above_signal_proxy,64.04,47.06,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
65,GRAL,GRAIL INC,NASDAQ+RUSSELL2000,Health Care,66.32,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.66,49.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
66,PBI,PITNEY BOWES INC,RUSSELL2000,Industrials,66.27,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,52.51,44.75,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
67,MPLT,MAPLIGHT THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,66.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.33,49.72,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
68,EGHT,8X8 INC,NASDAQ+RUSSELL2000,Information Technology,66.19,82.0,early_transition,49.8,bullish_below_zero_proxy,72.74,48.8,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
69,LAW,CS DISCO INC,RUSSELL2000,Information Technology,66.13,82.0,early_transition,61.8,bullish_above_signal_proxy,63.47,46.94,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
70,TREE,LENDINGTREE INC,NASDAQ+RUSSELL2000,Financials,66.12,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.52,48.75,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
71,FNRN,FIRST NORTHERN COMMUNITY BANCORP,NASDAQ+RUSSELL2000,Financials,66.07,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,51.9,44.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
72,NTB,BANK OF NT BUTTERFIELD & SON LTD,RUSSELL2000,Financials,66.07,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,51.93,44.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
73,FRSH,FRESHWORKS INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,66.0,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.17,48.68,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
74,ANAB,ANAPTYSBIO INC,NASDAQ+RUSSELL2000,Health Care,65.98,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,71.65,49.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
75,INTA,INTAPP INC,NASDAQ+RUSSELL2000,Information Technology,65.96,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.04,48.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
76,OPAL,OPAL FUELS INC CLASS A,NASDAQ+RUSSELL2000,Energy,65.95,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,55.64,45.38,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
77,VIA,VIA TRANSPORTATION INC CLASS A,RUSSELL2000,Information Technology,65.95,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.02,48.65,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
78,CNTB,CONNECT BIOPHARMA HOLDINGS LTD,NASDAQ+RUSSELL2000,Health Care,65.85,82.0,early_transition,61.8,bullish_above_signal_proxy,62.15,47.68,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
79,ALT,ALTIMMUNE INC,NASDAQ+RUSSELL2000,Health Care,65.8,82.0,early_transition,61.8,bullish_above_signal_proxy,62.02,47.65,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
80,ALMR,ALAMAR BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,65.73,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.88,49.43,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
81,VALU,VALUE LINE INC,NASDAQ+RUSSELL2000,Financials,65.72,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,71.31,48.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
82,VITL,VITAL FARMS INC,NASDAQ+RUSSELL2000,Consumer Staples,65.66,82.0,early_transition,61.8,bullish_above_signal_proxy,61.6,47.57,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
83,ASIC,ATEGRITY SPECIALTY INSURANCE COMPA,RUSSELL2000,Financials,65.66,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,71.13,48.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
84,ATMU,ATMUS FILTRATION TECHNOLOGIES INC,RUSSELL2000,Industrials,65.64,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,54.69,45.19,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
85,PRGS,PROGRESS SOFTWARE CORP,NASDAQ+RUSSELL2000,Information Technology,65.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,71.04,48.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
