rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
26,DIS,Walt Disney Company (The),Communication Services,22.07,Deep v3 Daily CNN 确认层 未确认,108.589996,59.19,1.0,0.01780855,0.03134196,0.03626295,92.8,53.9,100.0,80.44,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 22.1,Deep v3 Daily CNN 确认层,no,22.07,2026-09-14
27,HSTM,HEALTHSTREAM,Health Care,16.33,Deep v3 Daily CNN 确认层 未确认,29.629999,60.16,0.81,0.02632483,0.01542149,0.02172410,98.2,54.18,88.8,80.89,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 16.3,Deep v3 Daily CNN 确认层,no,16.33,2026-09-14
28,WST,West Pharmaceutical Services,Health Care,15.99,Deep v3 Daily CNN 确认层 未确认,355.149994,63.72,1.28,0.01425060,0.04465098,0.02632639,90.4,48.21,100.0,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 16.0,Deep v3 Daily CNN 确认层,no,15.99,2026-09-14
29,IMAX,IMAX,Communication,12.95,Deep v3 Daily CNN 确认层 未确认,53.439999,61.32,1.17,0.03076474,0.03465628,0.00300300,98.2,53.77,88.8,80.89,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 12.9,Deep v3 Daily CNN 确认层,no,12.95,2026-09-14
30,ABBV,AbbVie,Health Care,12.6,Deep v3 Daily CNN 确认层 未确认,261.734985,60.3,0.97,0.01723668,0.02096661,0.04343402,92.8,57.31,100.0,80.0,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 12.6,Deep v3 Daily CNN 确认层,no,12.6,2026-09-14
31,TMUS,T-Mobile US,Communication Services,11.12,Deep v3 Daily CNN 确认层 未确认,182.899994,52.75,0.77,-0.00263550,0.00754693,-0.00267193,92.8,66.34,69.9,81.12,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 11.1,Deep v3 Daily CNN 确认层,no,11.12,2026-09-14
32,BANR,BANNER CORP,Financials,6.34,Deep v3 Daily CNN 确认层 未确认,71.940002,60.16,1.24,0.01338222,0.01110330,-0.02427778,90.4,78.25,69.9,80.89,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 6.3,Deep v3 Daily CNN 确认层,no,6.34,2026-09-14
33,CI,Cigna,Health Care,6.17,Deep v3 Daily CNN 确认层 未确认,290.170013,65.82,1.19,0.03910479,0.02707782,0.04340168,98.2,71.94,91.6,80.44,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 6.2,Deep v3 Daily CNN 确认层,no,6.17,2026-09-14
34,PGR,Progressive Corporation,Financials,3.3,Deep v3 Daily CNN 确认层 未确认,221.050003,58.73,0.78,0.02323659,0.00968351,0.05836446,98.2,54.07,88.8,80.44,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 3.3,Deep v3 Daily CNN 确认层,no,3.3,2026-09-14
35,NRC,NRC HEALTH,Health Care,0.0,Deep v3 Daily CNN 确认层 数据不足,22.309999,62.15,0.7,0.07466276,0.03430686,0.04840216,92.8,79.54,91.6,80.89,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
